institution,year,rank,score
60000153,2009,1800,2
60000153,2010,1616,3
60000153,2011,1674,3
60000153,2012,2015,2
60000153,2013,1814,3
60000153,2014,1891,3
60000153,2015,2258,2
60000153,2016,2290,2
60000153,2017,2336,2
60000153,2020,3168,1
60000164,2006,1857,1
60000164,2007,1963,1
60000164,2008,2085,1
60000164,2009,2176,1
60000164,2010,2287,1
60000164,2013,2543,1
60000164,2014,2166,2
60000164,2015,1975,3
60000164,2016,1653,5
60000164,2017,1675,5
60000164,2018,1617,6
60000164,2019,1537,7
60000164,2020,1688,6
60000174,2013,2543,1
60000174,2014,2623,1
60000174,2015,1975,3
60000174,2016,1653,5
60000174,2017,1675,5
60000174,2018,1617,6
60000174,2019,1448,8
60000174,2020,1408,9
60000179,1994,164,9
60000179,1995,150,21
60000179,1996,146,35
60000179,1997,158,46
60000179,1998,166,58
60000179,1999,178,57
60000179,2000,188,58
60000179,2001,184,59
60000179,2002,214,54
60000179,2003,229,55
60000179,2004,213,64
60000179,2005,225,66
60000179,2006,204,78
60000179,2007,190,93
60000179,2008,178,102
60000179,2009,178,109
60000179,2010,186,111
60000179,2011,201,107
60000179,2012,216,103
60000179,2013,224,105
60000179,2014,233,102
60000179,2015,234,107
60000179,2016,233,111
60000179,2017,222,118
60000179,2018,250,108
60000179,2019,259,107
60000179,2020,286,101
60000202,2008,2085,1
60000202,2009,1800,2
60000202,2010,1616,3
60000202,2011,1517,4
60000202,2012,1251,7
60000202,2013,1394,6
60000202,2014,1431,6
60000202,2015,1494,6
60000202,2016,1535,6
60000202,2017,1570,6
60000202,2018,1417,8
60000202,2019,1448,8
60000202,2020,1492,8
60000213,2001,1531,1
60000213,2002,1288,2
60000213,2003,1168,3
60000213,2004,1110,4
60000213,2005,977,6
60000213,2006,1045,6
60000213,2007,1086,6
60000213,2008,1249,5
60000213,2009,1297,5
60000213,2010,1616,3
60000213,2011,1674,3
60000213,2012,2015,2
60000213,2013,1641,4
60000213,2014,1891,3
60000213,2015,1764,4
60000213,2016,1810,4
60000213,2017,1675,5
60000213,2018,1890,4
60000213,2019,1656,6
60000213,2020,1688,6
60000221,1994,31,51
60000221,1995,28,99
60000221,1996,27,159
60000221,1997,29,213
60000221,1998,30,260
60000221,1999,31,260
60000221,2000,35,245
60000221,2001,36,231
60000221,2002,38,240
60000221,2003,38,247
60000221,2004,41,253
60000221,2005,39,290
60000221,2006,37,314
60000221,2007,38,333
60000221,2008,38,354
60000221,2009,38,365
60000221,2010,41,376
60000221,2011,40,386
60000221,2012,40,401
60000221,2013,37,439
60000221,2014,37,450
60000221,2015,35,466
60000221,2016,35,472
60000221,2017,38,462
60000221,2018,39,470
60000221,2019,36,481
60000221,2020,36,490
60000224,2019,3037,1
60000224,2020,3168,1
60000231,2011,2363,1
60000231,2012,2015,2
60000231,2013,2091,2
60000231,2014,2166,2
60000231,2015,2258,2
60000231,2016,2778,1
60000237,1998,1367,1
60000237,1999,1426,1
60000237,2000,1481,1
60000237,2001,1531,1
60000237,2002,1581,1
60000237,2011,2363,1
60000237,2012,2446,1
60000237,2013,2543,1
60000237,2014,2623,1
60000237,2015,2723,1
60000238,2006,1359,3
60000238,2007,1433,3
60000238,2008,1249,5
60000238,2009,1297,5
60000238,2010,1342,5
60000238,2011,1674,3
60000238,2012,1766,3
60000238,2013,2543,1
60000238,2014,2166,2
60000238,2015,2258,2
60000238,2016,2778,1
60000238,2017,2336,2
60000238,2018,2410,2
60000238,2019,3037,1
60000238,2020,3168,1
60000239,1994,129,12
60000239,1995,128,24
60000239,1996,126,40
60000239,1997,124,59
60000239,1998,128,73
60000239,1999,138,71
60000239,2000,146,74
60000239,2001,157,71
60000239,2002,180,63
60000239,2003,217,58
60000239,2004,185,73
60000239,2005,177,84
60000239,2006,159,98
60000239,2007,133,120
60000239,2008,116,140
60000239,2009,113,156
60000239,2010,116,162
60000239,2011,105,182
60000239,2012,109,188
60000239,2013,105,211
60000239,2014,116,201
60000239,2015,110,213
60000239,2016,115,211
60000239,2017,113,213
60000239,2018,113,215
60000239,2019,112,226
60000239,2020,110,234
60000248,1994,618,1
60000248,1995,868,1
60000248,1996,1086,1
60000248,1997,998,2
60000248,1998,1121,2
60000248,1999,1426,1
60000248,2000,1481,1
60000248,2001,1531,1
60000248,2003,1627,1
60000248,2004,1421,2
60000248,2005,1284,3
60000248,2006,1243,4
60000248,2007,1297,4
60000248,2008,1341,4
60000248,2009,1572,3
60000248,2010,1616,3
60000248,2011,1924,2
60000248,2012,2015,2
60000248,2013,2091,2
60000248,2014,2166,2
60000248,2015,2723,1
60000248,2016,2290,2
60000248,2017,2054,3
60000248,2018,2410,2
60000248,2019,2154,3
60000248,2020,2003,4
60000264,1994,129,12
60000264,1995,136,23
60000264,1996,140,36
60000264,1997,143,49
60000264,1998,140,67
60000264,1999,133,73
60000264,2000,147,73
60000264,2001,154,72
60000264,2002,146,78
60000264,2003,174,70
60000264,2004,190,71
60000264,2005,164,87
60000264,2006,165,96
60000264,2007,181,96
60000264,2008,158,113
60000264,2009,154,121
60000264,2010,180,114
60000264,2011,174,119
60000264,2012,195,116
60000264,2013,221,107
60000264,2014,226,106
60000264,2015,234,107
60000264,2016,251,101
60000264,2017,253,104
60000264,2018,242,111
60000264,2019,255,108
60000264,2020,256,113
60000273,2009,2176,1
60000273,2010,2287,1
60000273,2011,2363,1
60000273,2012,2446,1
60000273,2013,2543,1
60000305,1994,62,26
60000305,1995,82,41
60000305,1996,79,67
60000305,1997,79,93
60000305,1998,67,133
60000305,1999,72,132
60000305,2000,74,134
60000305,2001,86,122
60000305,2002,97,113
60000305,2003,116,100
60000305,2004,128,97
60000305,2005,128,103
60000305,2006,125,115
60000305,2007,117,131
60000305,2008,129,132
60000305,2009,123,147
60000305,2010,125,151
60000305,2011,136,148
60000305,2012,148,148
60000305,2013,165,138
60000305,2014,191,125
60000305,2015,208,120
60000305,2016,220,119
60000305,2017,253,104
60000305,2018,261,104
60000305,2019,304,91
60000305,2020,320,90
60000308,2000,1481,1
60000308,2001,1531,1
60000308,2002,1288,2
60000308,2003,1341,2
60000308,2004,1231,3
60000308,2005,1474,2
60000308,2006,1123,5
60000308,2007,1185,5
60000308,2008,1249,5
60000308,2009,1410,4
60000308,2010,1461,4
60000308,2011,1924,2
60000308,2012,2015,2
60000308,2013,1220,8
60000308,2014,1086,11
60000308,2015,955,15
60000308,2016,873,18
60000308,2017,773,23
60000308,2018,797,23
60000308,2019,796,24
60000308,2020,781,26
60000316,2002,1581,1
60000316,2003,1627,1
60000316,2004,1694,1
60000316,2005,1759,1
60000316,2006,1857,1
60000316,2010,2287,1
60000316,2011,2363,1
60000316,2012,2015,2
60000316,2013,2091,2
60000316,2014,2166,2
60000316,2015,2723,1
60000316,2016,2290,2
60000316,2017,2336,2
60000316,2018,2410,2
60000316,2019,2476,2
60000316,2020,2568,2
60000349,2005,1759,1
60000349,2006,1857,1
60000349,2007,1963,1
60000349,2008,2085,1
60000349,2009,2176,1
60000349,2019,3037,1
60000349,2020,3168,1
60000356,1994,618,1
60000356,1995,685,2
60000356,1996,489,7
60000356,1997,578,7
60000356,1998,590,9
60000356,1999,531,12
60000356,2000,541,13
60000356,2001,544,13
60000356,2002,468,19
60000356,2003,444,22
60000356,2004,412,28
60000356,2005,380,34
60000356,2006,388,36
60000356,2007,371,41
60000356,2008,333,51
60000356,2009,346,52
60000356,2010,357,53
60000356,2011,314,65
60000356,2012,320,66
60000356,2013,356,61
60000356,2014,311,75
60000356,2015,282,87
60000356,2016,300,84
60000356,2017,307,84
60000356,2018,288,94
60000356,2019,296,93
60000356,2020,289,100
60000371,2009,2176,1
60000371,2010,2287,1
60000371,2011,2363,1
60000371,2012,2446,1
60000371,2013,2543,1
60000371,2016,2290,2
60000371,2017,2336,2
60000371,2018,2410,2
60000371,2019,2476,2
60000371,2020,2568,2
60000377,2016,2778,1
60000377,2017,2831,1
60000377,2018,2410,2
60000377,2019,2476,2
60000377,2020,2568,2
60000387,2020,3168,1
60000389,2002,1581,1
60000389,2003,1627,1
60000389,2004,1694,1
60000389,2005,1759,1
60000389,2006,1857,1
60000396,2000,1481,1
60000396,2001,1531,1
60000396,2002,1581,1
60000396,2003,1627,1
60000396,2004,1231,3
60000396,2005,1474,2
60000396,2006,1543,2
60000396,2007,1631,2
60000396,2008,1728,2
60000396,2016,2778,1
60000396,2017,2831,1
60000396,2018,2944,1
60000396,2019,3037,1
60000396,2020,3168,1
60000401,1994,228,6
60000401,1995,227,13
60000401,1996,261,19
60000401,1997,288,24
60000401,1998,271,33
60000401,1999,295,32
60000401,2000,280,36
60000401,2001,280,38
60000401,2002,262,45
60000401,2003,267,45
60000401,2004,266,49
60000401,2005,282,49
60000401,2006,282,54
60000401,2007,273,60
60000401,2008,268,66
60000401,2009,250,75
60000401,2010,235,86
60000401,2011,229,92
60000401,2012,216,103
60000401,2013,205,114
60000401,2014,186,127
60000401,2015,189,130
60000401,2016,178,141
60000401,2017,195,136
60000401,2018,189,140
60000401,2019,198,135
60000401,2020,199,144
60000402,1996,1086,1
60000402,1997,998,2
60000402,1998,1121,2
60000402,1999,1007,3
60000402,2000,938,4
60000402,2001,961,4
60000402,2002,1007,4
60000402,2003,1060,4
60000402,2004,1008,5
60000402,2005,1051,5
60000402,2006,1243,4
60000402,2007,1433,3
60000402,2008,1488,3
60000402,2009,2176,1
60000402,2010,2287,1
60000402,2011,2363,1
60000402,2012,2446,1
60000402,2013,2543,1
60000402,2014,2166,2
60000402,2015,2723,1
60000402,2016,2778,1
60000402,2017,2831,1
60000402,2018,2410,2
60000402,2019,3037,1
60000402,2020,3168,1
60000409,2006,1857,1
60000409,2007,1963,1
60000409,2008,2085,1
60000409,2009,2176,1
60000409,2010,1855,2
60000409,2011,2363,1
60000409,2012,2446,1
60000409,2013,2543,1
60000409,2014,2623,1
60000409,2016,2778,1
60000409,2017,2831,1
60000409,2018,2944,1
60000409,2019,1938,4
60000409,2020,1815,5
60000411,2003,1341,2
60000411,2004,1421,2
60000411,2005,1474,2
60000411,2006,1543,2
60000411,2007,1631,2
60000414,2003,1627,1
60000414,2004,1694,1
60000414,2005,1759,1
60000414,2006,1857,1
60000414,2007,1963,1
60000414,2010,2287,1
60000414,2011,2363,1
60000414,2012,2446,1
60000414,2013,2091,2
60000414,2014,2166,2
60000414,2015,2723,1
60000414,2016,2778,1
60000414,2017,2831,1
60000414,2019,3037,1
60000414,2020,2568,2
60000434,2005,1759,1
60000434,2006,1857,1
60000434,2007,1963,1
60000434,2008,2085,1
60000434,2009,2176,1
60000434,2016,2778,1
