institution,2000,2001,2002,2003,2004
Oklahoma City University,13,12,10,10,7
Oklahoma State University,62,41,41,42,27
Old Dominion University,33,20,21,23,15
Oral Roberts University,2,2,2,2,2
Oregon Health & Science University,2,0,0,0,0
Oregon State University,27,23,18,19,15
Ouachita Baptist University,2,1,1,2,1
Pace University,44,24,24,27,10
"Pace University, Westchester",11,6,6,6,6
Pacific Lutheran University,9,5,5,9,7
Pennsylvania State University,111,79,70,76,52
Pepperdine University,26,18,16,16,10
Philadelphia University,3,1,1,1,0
Pittsburg State University,18,12,11,11,6
Plymouth State University,2,1,1,1,1
Point Loma Nazarene University,0,1,1,1,1
Polytechnic University (New York),4,0,0,0,0
Pompeu Fabra University,6,4,4,5,0
Portland State University,23,26,26,27,16
Prairie View A&M University,6,3,3,4,3
Princeton University,27,27,24,52,41
Providence University,0,0,0,0,4
Purdue University,38,41,34,35,25
Purdue University Calumet,3,4,4,4,4
Purdue University Fort Wayne,6,0,0,0,0
Queen's University,30,12,9,10,7
Queens University of Charlotte,0,1,0,1,0
Queensland University of Technology,3,3,3,3,0
Quincy University,1,1,2,2,2
RWTH Aachen,1,1,1,0,0
Radford University,16,12,13,14,10
Regent University,3,1,1,1,1
Regis University,1,1,1,1,0
Rensselaer Polytechnic Institute,9,12,9,17,15
Rice University,41,31,28,31,22
Rider University,26,17,17,18,11
Robert Morris University,9,5,5,6,5
Rochester Institute of Technology,17,10,10,12,8
Rockhurst University,8,5,6,6,6
Roger Williams University,3,3,2,4,5
Roosevelt University,19,11,12,12,10
Rowan University,12,6,6,9,4
Rutgers University,119,104,93,94,77
SUNY Brockport,2,2,1,1,0
SUNY Cortland,3,4,3,3,3
SUNY Fredonia,6,6,3,3,4
SUNY Geneseo,9,9,9,9,7
SUNY New Paltz,9,5,6,6,5
SUNY Old Westbury,7,5,3,1,1
SUNY Oneonta,3,4,4,5,4
SUNY Oswego,20,12,11,13,12
SUNY Plattsburgh,10,4,5,5,2
SUNY Polytechnic Institute,3,4,3,0,0
SUNY Potsdam,4,4,4,4,4
Sacred Heart University,6,5,5,6,3
Saginaw Valley State University,14,9,9,9,7
Saint Leo University,2,2,1,2,0
Saint Louis University,21,21,19,19,15
Saint Mary's University,18,8,7,8,7
Saint Peter's University,1,1,1,1,1
Saint Xavier University,3,2,2,1,1
Salisbury University,16,9,9,8,6
Salve Regina University,1,1,1,1,1
Sam Houston University,21,15,16,20,12
Samford University,6,3,3,5,1
San Diego State University,52,44,44,44,29
San Francisco State University,44,29,26,27,16
San Jose State University,43,20,18,21,15
Santa Clara University,28,29,28,29,20
Savannah State University,1,1,1,1,0
Seattle Pacific University,5,5,3,4,2
Seattle University,27,18,17,18,15
Seton Hall University,12,12,11,13,7
Shenandoah University,2,1,1,1,2
Shepherd University,4,4,4,4,3
Shippensburg University,18,12,12,10,7
Simon Fraser University,7,7,6,7,0
Slippery Rock University,8,7,7,6,5
Sonoma State University,8,7,7,10,6
South Carolina State University,6,3,3,2,3
South Dakota State University,11,13,13,14,14
Southeast Missouri State University,18,14,14,14,11
Southeastern Louisiana University,11,17,13,13,6
Southeastern Oklahoma State University,3,1,2,4,3
Southern Arkansas University,1,1,1,2,2
Southern Connecticut State University,18,14,12,14,11
Southern Cross University,1,1,1,1,0
Southern Illinois University,36,25,23,22,16
Southern Illinois University Edwardsville,23,16,14,13,11
Southern Methodist University,64,40,37,41,32
Southern New Hampshire University,3,1,1,2,1
Southern Oregon University,4,5,5,5,4
Southern University and A&M College,7,5,5,6,6
Southern Utah University,5,4,4,4,2
Southwest Minnesota State University,4,3,3,2,1
Southwestern Oklahoma State University,0,0,0,1,1
Southwestern University,7,6,6,6,6
St. Ambrose University,6,3,3,3,3
St. Bonaventure University,11,10,10,10,7
St. Catherine University,1,1,1,1,1
St. Cloud State University,36,25,25,26,18
St. Edward's University,3,3,3,3,2
St. Francis Xavier University,5,0,2,2,2
St. John's University,44,29,30,31,28
St. Joseph's University,28,15,16,15,11
St. Lawrence University,6,8,7,7,6
St. Mary's University,22,13,13,10,7
St. Thomas University,1,1,1,1,1
Stanford University,62,61,58,59,36
Stephen F. Austin State University,18,11,12,13,9
Stetson University,13,9,9,9,7
Stockholm School of Economics,1,1,1,1,0
Stockton University,3,3,2,2,3
Stony Brook University,17,19,16,17,12
Suffolk University,42,23,22,25,17
Sultan Qaboos University,1,0,0,0,0
Susquehanna University,13,10,9,10,7
Syddansk Universitet,7,4,4,6,0
Syracuse University,36,39,39,31,27
Tarleton State University,5,3,3,3,2
Tel Aviv University,10,10,8,9,0
Temple University,49,50,49,46,33
Tennessee State University,5,7,6,9,5
Tennessee Technological University,13,12,11,11,8
Texas A&M International University,15,7,7,3,6
Texas A&M University,57,58,53,63,42
Texas A&M University–Commerce,4,3,4,5,4
Texas A&M University–Corpus Christi,7,7,8,9,6
Texas A&M University–Kingsville,6,3,4,2,3
Texas Christian University,37,25,23,26,17
Texas Lutheran University,2,1,1,1,1
Texas Southern University,5,5,8,4,4
Texas State University,27,18,17,17,13
Texas Tech University,38,30,30,31,17
Texas Wesleyan University,2,2,3,4,3
Texas Woman's University,2,1,2,3,1
Tilburg University,3,3,0,0,0
Towson University,32,23,23,26,21
Transylvania University,3,2,2,2,2
Tri State University,0,0,0,1,1
Trinity University,15,17,16,16,13
Troy State University,6,4,3,3,2
"Troy State University, Dothan",1,0,0,0,0
Truman State University,17,14,14,14,8
Tufts University,18,20,20,21,18
Tulane University,39,31,28,32,24
Tuskegee University,2,3,3,3,2
Ulster University,3,2,2,0,0
Umea University,2,2,2,0,0
Union University,2,2,2,2,3
Universite Laval,20,20,20,17,10
University College Dublin,2,2,2,6,0
University at Albany,29,25,26,31,22
University at Buffalo,54,33,28,32,26
University of Aberdeen,4,5,5,7,0
University of Adelaide,5,6,5,4,0
University of Akron,38,24,25,25,14
University of Alabama,49,35,33,36,23
"University of Alabama, Birmingham",35,21,20,20,11
"University of Alabama, Huntsville",16,10,9,11,7
University of Alaska Fairbanks,16,14,13,11,6
"University of Alaska, Anchorage",11,6,6,6,7
University of Alberta,39,24,25,24,13
University of Amsterdam,7,7,0,0,0
University of Arizona,53,39,36,37,23
University of Arkansas,31,24,24,31,21
"University of Arkansas, Little Rock",18,12,12,14,10
"University of Arkansas, Monticello",2,2,2,1,0
University of Auckland,26,16,16,15,0
University of Baltimore,25,15,16,14,10
University of Bath,20,2,2,0,0
University of Bridgeport,3,2,2,3,2
University of Bristol,5,5,3,0,0
University of British Columbia,60,8,18,18,16
University of Calgary,42,17,14,16,12
"University of California, Berkeley",81,54,52,69,55
"University of California, Davis",26,29,28,36,30
"University of California, Irvine",53,32,24,30,24
"University of California, Los Angeles",83,52,51,64,46
"University of California, Riverside",25,28,26,29,22
"University of California, San Diego",20,24,19,19,19
"University of California, Santa Barbara",24,29,28,31,26
"University of California, Santa Cruz",15,21,20,22,17
University of Canterbury,22,3,3,7,3
University of Central Arkansas,9,7,8,8,6
University of Central Florida,60,51,46,49,33
University of Central Missouri,17,12,12,14,12
University of Central Oklahoma,9,7,7,8,8
University of Chicago,82,51,50,58,45
University of Cincinnati,50,37,32,32,25
University of Colorado,41,44,41,48,35
University of Colorado Colorado Springs,14,9,9,11,7
"University of Colorado, Denver",29,27,26,26,18
University of Connecticut,64,46,48,52,41
University of Cyprus,7,6,6,8,0
University of Dallas,11,5,5,6,5
University of Dayton,16,15,16,17,12
University of Delaware,59,48,46,48,35
University of Denver,16,17,17,17,13
University of Detroit Mercy,13,7,6,6,4
University of Dundee,9,10,9,10,4
University of East Anglia,4,4,4,1,2
University of Essex,12,14,12,15,0
University of Evansville,4,4,3,3,4
University of Exeter,6,5,5,0,0
University of Findlay,0,0,0,1,1
University of Florida,67,51,47,49,35
University of Georgia,70,47,43,46,37
University of Glasgow,5,6,6,10,0
University of Graz,2,3,2,2,0
University of Guam,2,2,2,0,0
University of Hartford,21,16,16,16,9
University of Hawaii,29,32,29,30,22
"University of Hawaii, Hilo",12,7,7,7,6
"University of Hawaii, West Oahu",0,0,0,2,0
University of Hong Kong,20,28,5,0,0
University of Houston,65,42,37,38,34
"University of Houston, Clear Lake",23,11,12,14,7
University of Houston-Downtown,18,9,9,8,4
University of Houston-Victoria,0,0,0,3,0
University of Hull,4,1,0,0,0
University of Idaho,22,14,12,13,9
