stu_id,adviser_name,commitee_members,source
"BARBOSA-FILHO, NELSON;New School for Social Research;2002",Lance Taylor,Eugene Canjels; Duncan Foley; Dan McIntyre,Dissertation
"BARCINSKI, ALEXANDRE MEDEIROS;University of Chicago;2001",Larry Sjaastad,,academictree
"BARDAKCI, YASEMIN;Western Michigan University;2004",Matthew L. Higgins,Onur Arugaslan; Debasri Mukherjee,Dissertation
"BARDHAN, ASHOK;University of California, Berkeley;2001",Gregory Grossman,,academictree
"BAREA-LUGO, SEBASTIAN;Binghamton University;2002",Charles Bischoff,,academictree
"BARELLI, PAULO;Columbia University;2004",Max Amarante; Paolo Siconolfi,Adam Brandenburger; Prajit Duta; Ronald Findlay,Dissertation
"BARILLA, ANTHONY G.;Kansas State University;2002",James F. Ragan,Michael W. Babcock; Thomas A. Garrett; Terry Kastens; Barbara M. Gatewood,Dissertation
"BARKLEY, DANIEL;University of California, Irvine;2000",Arthur S. De Vany,,academictree
"BARNES, MARK ALLAN;Boston University;2003",Andrew M. Weiss,,academictree
"BARNES, WILLIAM FAIRCHILD;University of Notre Dame;2001",Marty Wolfson,Charles Craypo; Kwan Kim,Dissertation
"BARR, JASON;Columbia University;2002",Todd Idson,,academictree
"BARR, TAVIS;Columbia University;2002",Todd Idson,,academictree
"BARRERA-OSORIO, FELIPE;University of Maryland;2003",Robert M. Schwab,,academictree
"BARRETO, ANDRE HORTA;University of Illinois;2001",Soyoung Kim,Anne Villamil; Zhijie Xiao,Dissertation
"BARRETT, RICHARD S. L.;University of California, Los Angeles;2000",William R. Zame,Antonio E. Bernardo; David K. Levine; Joseph M. Ostroy,Dissertation
"BARRY, JOHN;George Mason University;2004",Richard Wagner,Mark Crain; Sarah Nutter,Dissertation
"BARTH, DAVID;Northwestern University;2003",Robert Porter,,Email
"BASER, ONUR;Michigan State University;2002",Jeffrey M. Wooldridge,,academictree
"BASISTHA, ARABINDA;University of Washington;2002",Richard Startz,Charles Nelson; Eric Zivot; Chang-Jin Kim,Email
"BASKER, EMEK;Massachusetts Institute of Technology;2002",Daron Acemoglu; Olivier Blanchard,,Dissertation
"BASOV, SUREN;Boston University;2001",Hsueh-Ling Huynh,,academictree
"BASS, ELIZABETH;University of Illinois, Chicago;2003",Barry Chiswick,,academictree
"BASSI, MARINA;University of California, Los Angeles;2004",Arnold C. Harberger,,academictree
"BASTOS, CARLOS;New School for Social Research;2002",Lance Taylor,Edward Nell; Anwar Shaikh; Dan McIntyre,Dissertation
"BASU, KISALAYA;University at Albany;2001",Terrence Kinal,,academictree
"BASU, RITU;University of California, Los Angeles;2000",Carlos A. Vegh,Sushil Bikhchandani; Deepak K. Lal; Amartya Lahiri,Dissertation
"BATES, THOMAS;University of Pittsburgh;2000",Kenneth Lehn,,CV
"BATHGATE, JAMES;University of Connecticut;2001",Kathleen Segerson,,academictree
"BATISTA, GERALYNN;Fordham University;2004",Dominick Salvatore,,academictree
"BAUGHMAN, REAGAN;Syracuse University;2001",Douglas Holtz-Eakin,,academictree
"BAUMANN, ROBERT WILLIAM;Ohio State University;2003",Patricia Reagan,Stephen Cosslett; Joseph Kaboski; Bruce Weinberg,Dissertation
"BAYARD, KIMBERLY N.;University of Maryland;2001",Judith K. Hellerstein,John C. Haltiwanger; Nicholas Montgomery; Seth Sanders; Brian Phillips,Email; Committee CV; academictree
"BAYLIS, KATHERINE R.;University of California, Berkeley;2003",Jeffrey Perloff,Jeff LaFrance; George Akerlof,Email
