stu_id,adviser_name,commitee_members,source
"KIM, SUNGHWAN;Indiana University;2003",Michael V. Alexeev,Roy J. Gardner; Heejoon Kang; Richard J. Rosen,Dissertation
"KIM, TAE HYUNG;Ohio State University;2000",Lucia F. Dunn,Gene Mumy; Stephen Cosslett,Dissertation
"KIM, WANJOONG;University at Albany;2004",Terrence Kinal,,academictree
"KIM, WEONSEEK;University of California, Berkeley;2001",Suzanne Scotchmer,,academictree
"KIM, YITAE;University of Missouri;2001",Ronald A. Ratti,,Email; academictree
"KIM, YUN-YEONG;University of Washington;2003",Eric Zivot,Charles Nelson; Joon Y. Park,Dissertation
"KIM, YUNG MIN;Vanderbilt University;2001",Peter L. Rousseau,Jeremy Atack; Robert A. Driskill; Kathryn H. Anderson; David C. Parsley,Dissertation
"KIMMEL, LISA;University of California, Berkeley;2001",Aaron Edlin,,academictree
"KING, BRUCE;Southern Illinois University;2003",Richard Grabowski,,academictree
"KING, JOHN LEITNER;Vanderbilt University;2000",David Lucking-Reiley,James Foster; Luke Froeb; Clifford Russell,Dissertation
"KING, JOHN THOMAS;Vanderbilt University;2001",Jennifer F. Reinganum,,
"KING, SHARMILA KUMARI;University of California, Davis;2001",Kevin Hover,Oscar Jorda; Paul Bergin,Email; academictree
"KINGSTON, CHRISTOPHER;Stanford University;2001",Masahiko Aoki; Anne Krueger,,CV; academictree
"KINNUNEN, RIKU;New York University;2001",Douglas Gale,,academictree
"KINUGASA, TOMOKO;University of Hawaii;2004",Andrew Mason,Byron Gangnes; Summer La Croix; Sang-Hyop Lee; Robert Retherford,Dissertation
"KIRGIZ, INANC;University of Maryland;2001",Gurdip S. Bakshi,Harry Kelejian; John Chao; Maden; Michael Fu,Email
"KIRGIZ, KIVANC;Duke University;2001",Gregory S. Crawford,Kent Kimbrough; Thomas Nechyba; Kerry Smith,Dissertation
"KISER, SALLY JANE;University of Massachusetts;2001",Nancy Folbre,,academictree
"KISS, D. E. VAN BUREN;University of Illinois;2001",Andrea H. Beller,,academictree
"KISSELEV, KATE;New York University;2003",David Backus,Rohit Deo; Rob Engle; Anthony Lynch; Fabrizio Perri; Nouriel Roubini,Dissertation
"KLEIN, PABLO JAVIER;University of California, Berkeley;2002",Roger Craine,,academictree
"KLEINJAS, KRISTIN;University of Pittsburgh;2003",Carmelo Mesa-Lago,,University
"KLICK, JONATHAN M.;George Mason University;2002",Tyler Cowen,,academictree
"KLIMEK, SHAWN;Pennsylvania State University;2004",Mark John Roberts,,academictree
"KLOR, ESTEBAN F.;New York University;2002",Efe A. Ok,,academictree
"KLUMPP, TILMAN;University of Western Ontario;2003",Arthur Robson,,Email; Advisor CV; academictree
"KNABB, SHAWN DAVID;University of California, Santa Barbara;2001",Henning Bohn,,academictree
"KNAPP, KENNETH ALLEN;City University of New York;2001",Michael Grossman,,Dissertation
"KNIGHT, BRIAN;University of Wisconsin;2000",Arik Levinson,Robert H. Haveman; Andrew Reschovsky,Dissertation
"KNOX, THOMAS ATTERBURY;Harvard University;2003",Gary Chamberlain,,academictree
"KNOX, TREVOR M.;University of Connecticut;2000",Richard N. Langlois,,Email
"KO, HAKSOO;Columbia University;2001",Richard Ericson,,academictree
"KOBAYASHI, MIMAKO;University of California, Davis;2004",Richard E. Howitt; Lovell S. Jarvis,,CV
"KOBOS, PETER;Rensselaer Polytechnic Institute;2002",Jon Erickson,Thomas Drennen; John Gowdy; Paul Hohenberg; Bruce Piasecki,Dissertation
"KOC, SEVKET, A.;Texas A&M University;2002",William Neilson,,University
"KOCABIYIK HANSEN, ZEYNEP;University of Arizona;2002",Gary D. Libecap,,CV
"KOENIG, MELISSA LAND;Duke University;2001",Marjorie McElroy,,Dissertation
"KOENIGSBERG, ROBIN SUE;University of Colorado;2000",James R. Markusen,Yongmin Chen; Eckhard Janeba; Keith Maskus,Dissertation; Commitee CV
"KOGAN, JOSEPH;Harvard University;2002",Tarun Khanna,,academictree
"KOHLS, HEATHER HIPKE;University of Wisconsin, Milwaukee;2003",Avik Chakrabarti,,academictree
"KONG, YING;Carleton University;2000",Zhiqi Chen,Nicholas Rowe,Dissertation
"KONIG, GABRIEL GONZALEZ;Georgetown University;2000",James W. Albrecht,,academictree
"KORDAS, GRIGORIOS;University of Illinois;2000",Roger William Koenker,,Mathematics Genealogy
"KORNILOV, GUERMAN;American University;2003",John Willoughby,,academictree
"KORNIOTIS, GEORGE;Yale University;2003",Peter C.B. Phillips,,Advisor CV; academictree
"KOROBOW, ADAM KEITH;Georgia State University;2001",David B. Audretsch,,academictree
"KORU, AYCA-TEKIN;Purdue University;2001",John G. Pomery,,academictree
"KORYUKIN, LEONID;University of Delaware;2003",Burt Abrams,,academictree
"KOSALAKORN, CHOMPOONUH;University of Utah;2000",Richard Fowles,Stephen E. Reynolds; James P. Gander; Hans Ehrbar; Peter Loeb,CV
"KOSE, SEYIT;Oklahoma State University;2002",Ronald L. Moomaw,,academictree
"KOSNIK, LEA RACHEL DEFNE;University of California, Los Angeles;2001",Trudy Ann Cameron; J.R. DeShazo,Jean-Laurent Rosenthal; Phillip Leslie,Dissertation
"KOULIAVTSEV, MIKHAIL S.;Temple University;2003",Erwin A. Blackstone,,academictree
"KOUMKWA, SAMUEL;University of Houston;2003",David Papell,,academictree
"KOVTUN, DMITRIY;University of Kentucky;2004",Richard E. Gift,,academictree
"KOVTUNENKO, BORIS;Harvard University;2004",John Y. Campbell,,academictree
"KOZLOWSKI, ROBERT J.;University of Maryland;2001",Thomas C. Schelling,Peter Murrell; David A. Crocker; Peter Coughlin; Joe Oppenheimer,Email; academictree
"KRAJNYAK, KORNELIA;Massachusetts Institute of Technology;2002",Olivar J. Blanchard; Rudiger W. Dornbusch,,Dissertation
"KRALEY, SHON HARRIS;University of Washington;2001",Jacques P. Lawarree,,Dissertation
"KRASNOKUTSKAYA, ELENA;Yale University;2003",Martin Pesendorfer,,academictree
"KRAUSE, DAVID PETER;University of Calgary;2002",Jeffrey Church,,University
"KRAUSE, STEFAN;Ohio State University;2002",Stephen Cecchetti,Masao Ogaki; James Peck,Dissertation
"KREISLE, NICHOLAS;Northwestern University;2004",John C. Panzar,,academictree
"KRISHNAMANI, RANGARAJAN;University of Connecticut;2000",Susan M. Randolph,,Email; academictree
"KRIZ, PETER;University of California, Santa Cruz;2003",Carl E. Walsh,Kenneth M. Kletzer; Michael M. Hutchison,Dissertation
"KRUGER, DIANA ISABEL;University of Maryland;2003",Roger Betancourt,,academictree
"KRUSE, ELIZABETH M.;University of Massachusetts;2002",James K. Boyce,,academictree
"KUGLER, MAURICE D.;University of California, Berkeley;2000",Pranab K. Bardhan,J. Bradford DeLong; Paul M. Romer; Pablo T. Spiller,Dissertation
"KULJIEV, ANDREY;SUNY, Stony Brook;2001",Sangin Park,John Hause; Mark Montgomery; Paul Teske,Dissertation
"KUMAGAI, TOMOMI;Massachusetts Institute of Technology;2001",Jerry A Hausman; Guido Kuersteiner,,Dissertation
"KUMAR, ALOK;Cornell University;2003",Robert T. Masson,David R. Lee; Ted O'Donoghue,University
"KUMAR, ALOK;Queen's University;2003",Allen Head,,academictree
"KUMAR, SUBODH;University of California, Riverside;2000",Aman Ullah,Jang-Ting Guo; Gloria Gonzalez-Rivera; R. Robert Russell,Dissertation
"KUMAZAWA, RISA MOOSA;University of Texas;2002",Stephen G. Bronars,,academictree
"KUNAKORN, KHANCHIT;Claremont Graduate University;2001",Thomas D. Willett,,academictree
"KUO, SYLVIA;University of Wisconsin;2001",Barbara Wolfe,John Mullahy; John K. Scholz,Dissertation; University
"KURMANN, ANDRE;University of Virginia;2002",Christopher Otrok,,Dissertation
"KURUSCU, BURHANETTIN;University of Rochester;2002",Per Krusell,,academictree
"KUSHNIR, KRISTINA;University of Utah;2001",Gabriel Lozada,,academictree
"KUSI-SEKYERE, BENJAMIN;University of Manitoba;2001",Norman E. Cameron,,academictree
"KUSUDA, KOJI;University of Minnesota;2003",Jan Werner,Erzo Luttmer; Andrew McLennan; Luca Benzoni,Dissertation
"KUZNIK, ANDREAS;University of South Carolina;2004",Melayne M. McInnes,,academictree
"KWAK, SUNGKYU;University of Minnesota;2000",Varadarajan V. Chari,,Email; academictree
"KWAN, CHING-CHEUNG;City University of New York;2000",David Gabel,,academictree
"KWOK, YUN-KWONG;University of Virginia;2003",John McLaren,Jinill Kim; Paolo Ramezzana,Email
"KYLE, MARGARET;Massachusetts Institute of Technology;2002",Scott Stern,,Dissertation
"KYUREGHIAN, HRACHYA;Virginia Polytechnic Institute and State University;2000",Hans Haller,,academictree
"LABOY-BRUNO, JORGE;University of Connecticut;2002",Dennis Heffley,Katherine Segerson; Thomas Miceli,Dissertation
"LABYS, WALTER PAUL;University of Pennsylvania;2001",Francis X. Diebold,Ken Kavajecz; Patrik Sandas; Frank Schorfheide,Advisor CV; Email; academictree
"LACOUR, PIERRE;New School for Social Research;2004",Duncan Foley,James Miller; Andrew Schotter; Anwar Shaikh,Dissertation
"LAFLEUR, MARCELO;Fordham University;2004",Darryl McLeod,,academictree
"LAFOUNTAIN, COURTNEY;Washington University in St. Louis;2003",Marcus Berliant,,academictree
"LAI, ALEXANDRA SUET LENG;Queen's University;2001",Robin W. Boadway,,academictree
"LAI, FAR-TSMIR;Louisiana State University;2000",Kaz Miyagiwa,,academictree
"LAIHO, HEIKKI AARRE OLAV;City University of New York;2003",Salih N. Neftci,,academictree
"LAJEUNESSE, ROBERT MARTIN;Colorado State University;2000",James R. Stanfield,,academictree
"LAM, JEAN-PAUL (YIK SHING);McMaster University;2002",William Scarth,,academictree
"LAM, RICKY PAK KI;Yale University;2001",David Pearce,Stephen Morris,University; http://www.princeton.edu/~smorris/past%20PhD%20Students
"LAM, TERENCE;University of California, Irvine;2000",Kenneth Small,,academictree
"LAMAR, SIMON;Claremont Graduate University;2004",Arthur T. Denzau,Yi Feng; Thomas D. Willett,Dissertation
"LAMARCHE, JEAN-FRANCOIS;Queen's University;2002",Allan W. Gregoy; Gregor W. Smith,,Dissertation
"LAN, YINGCONG;Stanford University;2004",John B. Shoven,,academictree
"LANCE, PETER M.;University of North Carolina;2004",John S. Akin,,University
"LANDEO-BOTTO, CLAUDIA M.;University of Pittsburgh;2002",John Duffy,,University
"LANDIER, AUGUSTIN;Massachusetts Institute of Technology;2002",Daron Acemoglu; Olivier Blanchard,,Dissertation
"LANDU, MXOLIXI;University of Houston;2002",David Papell,,academictree
"LANG, DAVID;Washington University in St. Louis;2002",Marcus Berliant,,CV
"LANGELETT, GEORGE L.;University of Nebraska;2000",William B. Walstad,,academictree
"LANGYINTUO, AUGUSTINE SANGSON;Purdue University;2003",James Lowenberg-Deboer,,academictree
"LANIER, LOUIS R.;Clemson University;2001",William R. Dougan,,academictree
"LAOVAKUL, DUANGMANEE;George Mason University;2004",W. Mark Crain,,Dissertation
"LARGEY, ANN GERALDINE;University of California, Irvine;2002",Kenneth Small,,academictree
"LARRAIN, FRANCISCO DE BORJA;Harvard University;2004",Andrei Shleifer; Jeremy Stein,John Campbell,CV
"LARRIVEE, JOHN;University of Wisconsin;2000",Ronald Shaffer,,academictree
"LARSEN, ERLING ROED;University of California, Berkeley;2001",J. Bradford DeLong,Clair Brown; Michael Hanemann,http://home.bi.no/erling.r.larsen/; academictree
"LARSEN, JOAN;University of Manitoba;2002",John Loxley,,academictree
"LARSON, NATHAN;Massachusetts Institute of Technology;2001",Abhijit Banerjee; Glenn Ellison,,Dissertation
"LATIF, EHSAN;University of Manitoba;2004",Ardeshir Sepehri,,academictree
"LAU, STEPHANIE;Yale University;2003",Stephen Morris,,http://www.princeton.edu/~smorris/past%20PhD%20Students
"LAUTZENHEISER, MARK;University of Utah;2000",E. K. Hunt,Susan Chesteen; Mark Glick; Laura Linebarger; Allen M. Sievers,Dissertation
"LAVOIE, BRIAN;Ohio State University;2004",Ian M. Sheldon,Eric O'N. Fisher; Mario J. Miranda,Dissertation; academictree
"LAVOIE, CHIARA GRATTON;Virginia Polytechnic Institute and State University;2000",Nancy Lutz,,academictree
"LAW, MARC;Washington University in St. Louis;2003",Sukkoo Kim,,academictree
"LAWNICKI, VICTOR;University of Wyoming;2002",Fred Sterbenz,,Dissertation
"LAWRENCE, LOUISA A.;American University;2003",Maria S Floro,,academictree
"LAWTON, PETER;University of New Mexico;2002",Michael McKee,Hank Jenkins-Smith; Robert Berrens; Phillip Ganderton,Dissertation
"LAZAREV, VALERY;University of Houston;2003",Steven Craig; Paul Gregory,Gavin Wright,CV
"LE, DUC;University at Albany;2002",Michael Jerison,,academictree
"LE, NHAT HONG;Stanford University;2001",Steven Tadelis,,academictree
"LE, QUAN VU;Claremont Graduate University;2000",Paul Zak,Arthur T. Denzau; Yi Feng,Dissertation
"LEBEDINSKY, ALEXANDER;Georgetown University;2004",Martin D. D. Evans,,academictree
"LECLAIR, MARGARET;Fordham University;2001",R. Richard Geddes,Derrick Reagle; Dominick Salvatore,Email
"LEDERMAN, MARA BERMAN;Massachusetts Institute of Technology;2003",Nancy L. Rose; Susan Athey; Scott Stern,,Dissertation
"LEDESMA LIEBANA, PATRICIA;University of Notre Dame;2002",Amitava K. Dutt,Teresa Ghilarducci; Kajal Mukhopdhyay; Jaime Ros,Dissertation
"LEE, BYUNGYOON;University of Wisconsin;2000",Rodolfo E. Manuelli,Donald Hester; M. Scott Taylor,Dissertation
"LEE, DONG WON;Claremont Graduate University;2004",Thomas E. Borcherding,Arthur T. Denzau; Eleanor Brown,Dissertation
"LEE, DONGHOON;University of Pennsylvania;2001",Kenneth I. Wolpin,,Advisor CV
"LEE, EOG-WEON;University of Missouri;2003",Ronald A. Ratti,,Email; academictree
"LEE, GEA MYOUNG;Columbia University;2003",Kyle Bagwell,Michael Riordan,CV
"LEE, HANGYONG;Columbia University;2003",Robert Hodrick,,academictree
"LEE, HO JIN;University of California, Irvine;2003",David Brownstone; Sarah Senesky,Marigee Bacolod,Dissertation
"LEE, HO-DONG;Indiana University;2003",Hugh E. Kelley,,academictree
"LEE, HYUN JIN;University of California, Berkeley;2003",Aviv Nevo,Richard Gilbert; Nancy Wallace,Dissertation
"LEE, INJAE;New York University;2003",William J. Baumol,Janusz Ordover; Lewis Kornhauser,Dissertation
"LEE, JAE JOON;University of Washington;2004",Charles R. Nelson,Richard Startz; Judith Thomton; Chang-Jin Kim,Dissertation
"LEE, JAEHEE;Pennsylvania State University;2004",Kalyan Chatterjee,,academictree
"LEE, JAEHWA;Duke University;2001",Michelle Connolly,Edward Tower; Gregory Crawford; Corinne Krupp,Dissertation
"LEE, JAERANG;University of Washington;2004",Kar-yiu Wong,,academictree
"LEE, JAIMIN;Michigan State University;2003",Charles Ballard,Lawrence Martin; Paul Menchik; Leslie Papke; Ed Outslay,Dissertation
"LEE, JEONG JOON;Stanford University;2001",Michael J. Boskin,,academictree
"LEE, JIN MAN;University of Illinois, Chicago;2001",Houston H. Stokes,Gilbert Bassett; George Karras; Mo-Yin Tam; Jonathan Dombrow,Dissertation
"LEE, JOO YOUNG;University of Georgia;2004",William D. Lastrapes,Ronald S. Warren; Santanu Chatterjee,Dissertation
"LEE, JULIE;Yale University;2003",Patrick Bayer,Ann Stevens; Jonathan Skinner,Dissertation
"LEE, KANG-SUN;Louisiana State University;2001",R. Carter Hill,Robert Newman; M. Dek Terrell; James Geaghan,Dissertation
"LEE, KATHERINE J.;George Mason University;2001",Mark Crain,,Dissertation
"LEE, KYUNG HEE;University of Georgia;2004",Christopher M. Cornwell,Arthur A. Snow; David B. Mustard,Dissertation
"LEE, MICHAEL JAE WOO;University of Illinois;2001",Michael Ward,Richard Arnould; George Deltas; Michelle Morganosky,Dissertation
"LEE, SAGJIK;Johns Hopkins University;2003",M. Ali Khan,H. Peyton Young,Dissertation
"LEE, SANGHOON;Columbia University;2003",Michael Riordan,Kyle Bagwell; Prajit Dutta; Juan Carrillo; Raphael Thomadsen,Dissertation
"LEE, SEONG-HOON;University at Buffalo;2002",Michael Gort,,academictree
"LEE, SEUNG-JAE;University of Missouri;2000",Ronald A. Ratti,,Email
"LEE, SIN MYOUNG;University of Missouri;2003",Michael Podgursky,David Mandy; Kenneth Troske; Mark Ehlert; Daryl Hobbs,Dissertation
"LEE, SOKBAE (SIMON);University of Iowa;2002",Joel L. Horowitz,,CV; academictree
"LEE, SUNG-CHUL;University of Western Ontario;2001",Ignatius Horstmann,Al Slivinski; Lutz-Alexander Bush,Dissertation
"LEE, SUNJONG;University of Illinois;2002",Paul N. Ellinger,,academictree
"LEE, SUSAN C. S.;University of Wisconsin;2000",Larry Samuelson,Raymond Deneckere; Steven N. Durlauf,University
"LEE, TAEKYU;University of Texas;2002",Scott Freeman; Paul Wilson,Peter Wilcoxen; David Chapman,Dissertation
"LEE, TSUNG-CHENG;Cornell University;2004",Richard N. Boisvert,,academictree
"LEE, TUCKCHUNG;University of Illinois;2001",Daniel M. Bernhardt,,academictree
"LEE, WEE-KENG;University of Texas;2002",Brian E. Roberts,Harry M. Cleaver Jr.; William P. Glade; James K. Galbraith; Melvin J. Hinich,Dissertation
"LEE, WON CHAN;City University of New York;2001",Michael Grossman,,University
"LEE, WONHYUNG;Florida State University;2000",James H. Gapinski,HeeMin Kim; E. Ray Canterbery; Thomas W. Zuehlke,Dissertation
"LEE, YIU FAI;University of Toronto;2002",Dwayne Benjamin; Loren Brandt,,CV
"LEE, YU-FENG;Southern Illinois University;2003",Selahattin Dibooglu,,academictree
"LEELAHANON, SITTISAK;Texas A&M University;2002",Qi Li,,University
"LEGER, PIERRE THOMAS;University of Western Ontario;2000",Ake Blomqvist,Ig Horstmann; Todd Stinebrickner,Dissertation
"LEHRER, STEVEN;University of Pittsburgh;2001",John Kagel; Jean Francois Richard,Dennis Epple; Martin Gaynor; Jack Ochs,Dissertation
"LEI, CHON (WILFRED) IO;University of Chicago;2001",Lars Peter Hansen,,Advisor CV
"LEI, WENCHIEH VIVIAN;Purdue University;2000",Charles Noussair; Charalambos Aliprantis,John Carlson; Janet Netz,Dissertation
"LEI, YING;Rutgers University;2001",Mark R. Killingsworth,Roger Klein; Hiroki Tsurumi; David Card,Dissertation
"LEIBTAG, EPHRAIM S.;University of Maryland;2002",Roger R. Betancourt,Robert Schwab; Judith K. Hellerstein; Charles R Hulten; Brian Ratchford,Email; academictree
"LEINGPEBOON, ORACHAT;Rensselaer Polytechnic Institute;2001",Romesh Diwan,,academictree
"LEKPRICHAKUL, THAMANA;University of Hawaii;2001",Gerard G. Russo,,academictree
"LEMKE, GRAHAM;Binghamton University;2000",Edward C. Kokkelenberg,,academictree
"LENGERMANN, PAUL;University of Maryland;2002",John C. Haltiwanger,Judith K Hellerstein; Seth Sanders; John M. Abowd; Brian Phillips,Email; academictree
"LENTZ, RASMUS;Northwestern University;2002",Dale T. Mortensen,,academictree
"LEON, JANINA;Ohio State University;2001",Douglas Graham,Anand Desai; Claudio Gonzalez Vega,Dissertation; CV
"LEONARDA, ZICCHINO;Columbia University;2002",Paolo Siconolfi,,Dissertation
"LEONI, PATRICK;University of Minnesota;2003",Andrew M. McLennan,,academictree
"LESLEY, JAMES CLAYTON;University of South Carolina;2002",Glenn W. Harrison,,academictree
"LETTING, PHILLIP;Southern Illinois University;2000",Richard Grabowski,,academictree
"LEUNG, AMBROSE;Carleton University;2001",Frances Woolley,,academictree
"LEVIN, KENNETH;University of Massachusetts;2004",Richard D. Wolff,Stephen A. Resnick; Julie Graham,Dissertation
"LEVY, DAN MAURICE;Northwestern University;2000",Rebecca Blank,,Email
"LEWIS, ETHAN GATEWOOD;University of California, Berkeley;2003",David Card,Kenneth Chay; Steven Raphael,Dissertation
"LEWIS, JEFFREY;University of Maryland;2003",Seth Sanders,Jonah B. Gelbach; Sandra L. Hofferth; Robert M. Schwab; Jeffrey Smith,Dissertation
"LEWIS, MARK;Massachusetts Institute of Technology;2003",William Wheaton; Dafid Autor,,Dissertation
"LI, CANLIN;University of Pennsylvania;2002",Francis X. Diebold,Michael Brandt; Frank Schorfheide,Advisor CV; Email; academictree
"LI, CHANGYING;University of Colorado;2003",Keith E. Maskus,Yongmin Chen,Email; Committee CV
"LI, GUANGHUI;University of Washington;2004",Shelly Lundberg,,https://www.cpc.unc.edu/projects/china/publications/1918
"LI, HONGBIN;Stanford University;2001",Scott Rozelle; Lawrence Lau,Steve Tadelis,Dissertation
"LI, HUIMIN;Drexel University;2004",Bang N. Jeon; Thomas C. Chiang,,Dissertation
"LI, JIAN-FA;West Virginia University;2003",Ming J. Hwang,Subhayu Bandyopadhyay; Kern O. Kymn; Chin W. Yang,Dissertation
"LI, JING;University of Wisconsin;2004",Bart Lipman,Larry Samuelson; Jim Andreoni,Dissertation
"LI, KEFEI;New York University;2002",Yakov Amihud,Jarl Kallberg; Larry White; Kose John; William Greene,Dissertation
"LI, LIANFA;Ohio State University;2004",Pok-sang Lam; Stephen G. Cecchetti,Masao Ogaki,Dissertation; academictree
"LI, LINGFENG;Yale University;2003",William N. Goetzmann,K. Geert Rouwenhorst; Robert J. Shiller; George J. Hall,Dissertation
"LI, MINGLIANG;University of California, Irvine;2003",Justin L. Tobias,Dale J. Poirier; David Brownstone,Dissertation
"LI, MINQI;University of Massachusetts;2002",Robert Pollin,Gerald Epstein; David Kotz; Michael Ash; Daniel Clawson,Dissertation
"LI, MU YANG;Stanford University;2003",Dennis Tao Yang,,Advisor CV
"LI, SHUJING;Stanford University;2003",John B. Shoven,,academictree
"LI, WEI;Massachusetts Institute of Technology;2003",Glenn Ellison; Abhijit V. Banerjee,,Dissertation
"LI, XIANGHONG;Ohio State University;2004",John C. Ham; René Stulz,Patricia B. Reagan,Dissertation
"LI, XIAOWEI;Stanford University;2003",Ronald I. McKinnon,Takeshi Amemiya; Lawrence J. Lau,Dissertation
"LI, YAQIANG;Utah State University;2004",Basudeb Biswas,,academictree
"LI, YOUYAN;University at Buffalo;2002",Alex Anas,,academictree
"LI, ZHIXIN;University of Toronto;2001",Jack Mintz,,academictree
"LIANG, MINSONG;University of Michigan;2001",Robert J. Willis,John Bound; David D. Li; Yu Xie,Dissertation
"LIAO, PEI-CHENG;University of Washington;2002",Kar-yiu Wong,,academictree
"LIARD, CARLOS F.;University of Massachusetts;2003",Robert Pollin,,academictree
"LICANDRO FERRANDO, GERARDO;University of California, Los Angeles;2000",Carlos Vegh; David Levine,Mark Dwyer; Mohan Penubarti,Dissertation
"LICH-TYLER, STEPHEN;University of Texas;2002",D. S. Hamermesh; M. B. Stinchcombe,,CV; academictree
"LIDDERDALE, TANCRED;George Mason University;2002",W. Mark Crain,,Dissertation
"LIEBMAN, BENJAMIN HARRIS;University of Oregon;2003",Bruce Blonigen,Ronald B. Davies; Wesley Wilson; Richard Steers,Email
"LIELI, ROBERT;University of California, San Diego;2004",Halbert White,Graham Elliott; Clive W. J. Granger,CV; academictree
"LIEN, DIANA S.;University of Maryland;2001",William Evans,Seth Sanders; Ginger Z. Jin; Jonah B. Gelbach; Kenneth H. Beck,Email
"LIEN, HSIENMING;Boston University;2003",Thomas McGuire,Ching-To Ma; Victor Aguirregabiria,Dissertation
"LIEN, JEFFREY S.;University of Maryland;2001",Peter Cramton,Lawrence M Ausubel; Daniel R. Vincent; Rachel E. Kranton; Fawzi Emad,Email; academictree
"LIGHT, MILES;University of Colorado;2001",Thomas F. Rutherford,,academictree
"LILE, RONALD;University of Maryland;2003",Peter Murrell,Maureen L. Cropper; Douglas Meade; Roger R. Betancourt; John K. Horowitz,Email; academictree
"LIM, HYOUNG-SEOK;Ohio State University;2004",Masao Ogaki,Paul Evans; Pok-sang Lam,Dissertation; academictree
"LIM, JAE-YOUNG;University of North Carolina;2003",John S. Akin,,University; academictree
"LIM, KYUNG-MOOK;Brown University;2001",David N. Weil,Oded Galor; John C. Driscoll,Dissertation
"LIMA, VICTOR OSVALDO;University of Chicago;2001",Lester G. Telser,,academictree
"LIMAM, YASMINA;University of Connecticut;2002",Stephen M. Miller,,Email
"LIMAO, NUNO GONCALO ABRANCHES BARROSO MONTEIRO;Columbia University;2001",Kyle Bagwell,,Dissertation
"LIN, CHI-RUNG;University of California, Santa Cruz;2001",K.C. Fung,Daniel Friedman; Nirvikar Singh,Dissertation
"LIN, HAIJIN;Carnegie Mellon University;2004",Jonathan Glover,,academictree
"LIN, HORN-CHERN;Queen's University;2001",Robin W. Boadway,,academictree
"LIN, JANE;Columbia University;2004",Brendan O'flaherty,,academictree
"LIN, LI HUI;University of Texas;2002",Andrew B. Whinston,,academictree
"LIN, LIMIN;Southern Methodist University;2004",Thomas B. Fomby,Nathan S. Balke; Daniel Millimet; Andrew Chen,Dissertation
"LIN, MING-JEN;University of Chicago;2002",Steven Levitt,,Dissertation
"LIN, PEI-CHIEN;University of Minnesota;2000",Terry L. Roe,,academictree
"LIN, TIN-CHUN;Pennsylvania State University;2001",Eric W. Bond,,Email
"LINDEN, GREGORY M.;University of California, Berkeley;2000",Clair Brown,J. Bradford DeLong; Stephen S. Cohen,Dissertation
"LINDSEY, LAURA;Stanford University;2004",B. Douglas Bernheim,,academictree
"LINK, FREDERICK;Massachusetts Institute of Technology;2004",Peter Diamond; Jonathan Gruber,,Dissertation
"LINNOSMAA, ISMO;SUNY, Stony Brook;2001",Yair Tauman,,academictree
"LISTOKIN, YAIR;Princeton University;2002",Anne C. Case,,academictree
"LITVINOVA, JULIA;Duke University;2004",Tim Bollerslev,Bjorn Eraker; Pete Kyle; Hui Ou-Yang,Dissertation
"LIU, HAIYONG;University of North Carolina;2003",Thomas A. Mroz,,University
"LIU, JING;Purdue University;2001",Thomas Hertel; Channing Arndt,,Dissertation
"LIU, KANG;Ohio State University;2003",Wen Chern,Barry Goodwin; Brian Roe,Dissertation; academictree
"LIU, PEI;University at Buffalo;2002",Isaac Ehrlich,Michael Gort; Yong Yin,Dissertation
"LIU, QIHONG;SUNY, Stony Brook;2003",Konstantinos Serfes,Debra S. Dwyer; Yair Tauman; George Deltas,Dissertation
"LIU, SHIRLEY H.;SUNY, Stony Brook;2004",Debra S. Dwyer,,academictree
"LIU, WEI;University of Virginia;2003",Thomas Wake Epps,Massimo Guidolin; Albert Choi,Dissertation
"LIU, WEN-HSIEN;University of Missouri;2002",Xiaoguang Ni,,Email; academictree
"LIU, YA-MING INGRID;University of Minnesota;2003",Jean Kinsey,Roger Feldman; Donald Liu; Paul Glewwe,Dissertation
"LIU, YU-CHUNG;Oklahoma State University;2003",Dan Rickman,,academictree
"LIVINGSTON, JEFFREY A.;University of Maryland;2003",Peter Murrell,,academictree
"LLERAS-MUNEY, ADRIANA;Columbia University;2001",Sherry Glied,,Dissertation
"LLUSSA, FERNANDA ANTONIA JOSEFA;University of California, Los Angeles;2003",Luisa Lambertini,Ekaterini Kyriazidou; Monika Piazzesi; Kenneth Sokoloff; Carlos Vegh,Dissertation
"LO RE, MARY L.;City University of New York;2003",Thom Thurston,,University; academictree
"LO, FENG-YI;Purdue University;2001",John A. Carlson; Charalambos D. Aliprantis,John M. Barron; K. Rao Kadiyala,Dissertation
"LO, KA-MAN;University of Western Ontario;2003",John Knight,,Email
"LO, MING CHIEN;University of Washington;2000",Charles Engel,Chang-Jin Kim; Charles Nelson; Eric Zivot,CV
"LOBATO OSORIO, MANUEL;Columbia University;2001",Kenneth L. Leonard,,
"LOCAY-ANDERSON, NELLY;George Washington University;2001",Frederick L. Joutz,Michael D. Bradley; Stephen Charles Smith,Dissertation
"LOCKARD, ALAN;George Mason University;2002",Charles K. Rowley,,academictree
"LOGAN, TREVON D'MARCUS;University of California, Berkeley;2004",J. Bradford DeLong; Ronald D. Lee,Christina D. Romer; Kenneth W. Wachter,Dissertation
"LOH, CHUNG-PING A.;University of North Carolina;2004",John S. Akin,,University
"LOMBARDI, ANN;Columbia University;2002",Stephen Cameron,,academictree
"LOMBARDO, DAVIDE;Stanford University;2001",John B. Shoven,,academictree
