adv,adv_scopus-name,adv_scopus
Geoffrey Turnbull,"Turnbull, Geoffrey Keith",7102941445
George A. Akerlof,"Akerlof, George A.",6603005927
George A. Hay,"Hay, George A.",7005854758
George A. Selgin,"Selgin, George A.",6603747348
George Akerlof,"Akerlof, George A.",6603005927
George Bittlingmayer,"Bittlingmayer, George",6602169267
George C. Davis,"Davis, George C.",7404344604
George C. Philappatos,"Philippatos, George C.",6506366778
George Davis,"Davis, George C.",7404344604
George Deltas,"Deltas, George",6603023448
George Evans,"Evans, George W.",7403735746
George Gross,"Gross, George M.",7403208313
George Hall,"Hall, George J.",7402065791
George J. Hall,"Hall, George J.",7402065791
George J. Jiang,"Jiang, George J.",35215073600
George J. Mailath,"Mailath, George J.",7003357524
George Jakubson,"Jakubson, George H.",16480300000
George Johnson,"Johnson, George E.",55327557900
George Karras,"Karras, Georgios",7004460641
George M. Constantinides,"Constantinides, George M.",7006623149
George M. von Furstenberg,"Von Furstenberg, George M.",6701515593
George Neumann,"Neumann, George R.",7202631841
George R. Neumann,"Neumann, George R.",7202631841
George R. Parsons,"Parsons, George R.",7102727834
George R. Zodrow,"Zodrow, George R.",6603190483
George Racette,"Racette, George A.",24571295400
George S. Olley,"Olley, G. Steven",6508218479
George S. Tolley,"Tolley, George S.",36715564100
George Tauchen,"Tauchen, George E.",6602745884
George Tolley,"Tolley, George S.",36715564100
George W. Hammond,"Hammond, George W.",7202011670
George W. Morse,"Morse, George W.",14421468100
George W. Sledge,"Sledge, George W.",57218886871
George William Evans,"Evans, George W.",7403735746
Georgios Karras,"Karras, Georgios",7004460641
Gerald Epstein,"Epstein, Gerald A.",36439009300
Gerald Ferretti,"Ferretti, Gerald A.",7201589341
Gerald Lage,"Lage, Gerald M.",57191017706
Gerald M. Lage,"Lage, Gerald M.",57191017706
Gerald Shively,"Shively, Gerald E.",6603777705
Gerald W. Sazama,"Sazama, Gerald W.",6506018432
Geraldine Szott Moohr,"Moohr, Geraldine Szott",6507238938
Gerard G. Russo,"Russo, Gerard",57190090180
Gerard J. McCullough,"McCullough, Gerard J.",7003898097
Gerard Russo,"Russo, Gerard",57190090180
Gerhard Glomm,"Glomm, Gerhard",6701561669
Gershon Mandelker,"Mandelker, Gershon N.",24570591100
Giacomo Bonanno,"Bonanno, Giacomo",7101685891
Gian Luca Clementi,"Clementi, Gian Luca",7005987145
Giancarlo Corsetti,"Corsetti, Giancarlo",6701579737
Gianni Toniolo,"Toniolo, Gianni",24323042900
Gib Bassett,"Bassett, Gilbert W.",7005120181
Gil Mehrez,"Mehrez, Gil",8726558500
Gilbert Basset,"Bassett, Gilbert W.",7005120181
Gilbert Bassett,"Bassett, Gilbert W.",7005120181
Ginger Z. Jin,"Jin, Ginger Zhe",8228270800
Ginger Zhe Jin,"Jin, Ginger Zhe",8228270800
Giorgio Topa,"Topa, Giorgio",57202419887
Giovanni Luca Violante,"Violante, Giovanni L.",6603207649
Giovanni Maggi,"Maggi, Giovanni",57203071060
Giovanni Peri,"Peri, Giovanni",11639185900
Gisela M. Escoe,"Escoe, Gisela Meyer",36481234900
Giuseppe Moscarini,"Moscarini, Giuseppe",6505895938
Glenn Blomquist,"Blomquist, Glenn C.",7005806259
Glenn C. Blomquist,"Blomquist, Glenn C.",7005806259
Glenn D. Ellison,"Ellison, Glenn",7102425571
Glenn Ellison,"Ellison, Glenn",7102425571
Glenn Harrison,"Harrison, Glenn W.",7402558088
Glenn Loury,"Loury, Glenn Cartman",6602930341
Glenn W. Harrison,"Harrison, Glenn W.",7402558088
Glenn Y. Masada,"Masada, Glenn Y.",7003883290
Gloria Gonzalez-Rivera,"González-Rivera, Gloria R.",6506887356
Gordon Anderson,"Anderson, Gordon J.",24423598900
Gordon H. Hanson,"Hanson, Gordon H.",7201565847
Gordon Hanson,"Hanson, Gordon H.",7201565847
Gordon M. Myers,"Myers, Gordon M.",7202845520
Gordon Myers,"Myers, Gordon M.",7202845520
Gordon Rausser,"Rausser, Gordon C.",6701922429
Gordon Roberts,"Roberts, Gordon Walter",57203349333
Grabowski,"Grabowski, Richard",7006078050
Graciela L. Kaminsky,"Kaminsky, Graciela Laura",7004127772
Graham Douglas,"Graham, Douglas H.",55916135700
Graham Elliott,"Elliott, Graham",7202434234
Graham M. Voss,"Voss, Graham M.",7103150497
Grant Thrall,"Thrall, Grant Ian",55855717700
Greg Arling,"Arling, Greg W.",6701464966
Greg Clark,"Clark, Gregory Kitson",23088457200
Greg Dow,"Dow, Greg K.",57190904453
Greg Gleason,"Gleason, Gregory W.",7003822065
Greg L. Poe,"Poe, Gregory L.",7003965603
Gregor W. Smith,"Smith, Gregor W.",7406738737
Gregory A. Trandel,"Trandel, Gregory A.",6602311496
Gregory Crawford,"Crawford, Gregory S.",9277971900
Gregory Duffee,"Duffee, Gregory R.",6602361493
Gregory Gleason,"Gleason, Gregory W.",7003822065
Gregory Grossman,"Grossman, Gregory",57167301800
Gregory H. Wassall,"Wassall, Gregory H.",24078000500
Gregory M. Duncan,"Duncan, Gregory M.",24429155900
Gregory Mankiw,"Mankiw, N. Gregory",6602353309
Gregory S. Crawford,"Crawford, Gregory S.",9277971900
Gregory W. Huffman,"Huffman, Gregory W.",7101600178
Gregory Wassall,"Wassall, Gregory H.",24078000500
Gregory Werden,"Werden, Gregory J.",6701501746
Guido Imbens,"Imbens, Guido W.",6603956309
Guido Kuersteiner,"Kuersteiner, Guido M.",6506380387
Guillermo Calvo,"Calvo, Guillermo A.",7006813599
Gur Huberman,"Huberman, Gur",6603174999
Gurdip Bakshi,"Bakshi, Gurdip S.",55879597300
Gurdip S. Bakshi,"Bakshi, Gurdip S.",55879597300
Gustavo Grullon,"Grullon, Gustavo",6508041519
Gustavo Ventura,"Ventura, Gustavo",7101605895
Guy L. Curry,"Curry, Guy L.",7006400058
H. Alan Love,"Love, H. Alan",7003663349
H. Peyton Young,"Young, H. Peyton",7401638850
H.E. Frech III,"Frech, H. E.",6701898450
H.E. Freeh III,"Frech, H. E.",6701898450
Hadi Esfahani,"Esfahani, Hadi Salehi",6603077822
Hadi S. Esfahani,"Esfahani, Hadi Salehi",6603077822
Hae-shin Hwang,"Hwang, Hae-shin",7403258328
Haitao Li,"Li, Haitao",57195455693
Halbert White,"White, Halbert L.",7402382523
Haluk Unal,"Ünal, Haluk",7006875529
Hamilton Lankford,"Lankford, Hamilton",6603028533
Hamish Gow,"Gow, Hamish R.",6603458570
Hank Jenkins-Smith,"Jenkins-Smith, Hank",6603894606
Hans Ehrbar,"Ehrbar, Hans G.",24393138100
Hans Haller,"Haller, Hans H.",7103228893
Hans Schollhammer,"Schöllhammer, Hans",6504794326
Harl Ryder,"Ryder, Harl E.",7004007670
Harland Whitmore,"Whitmore, Harland Wm",16176844900
Harold Demsetz,"Demsetz, Harold",6602266495
Harold Elder,"Elder, Harold W.",7006416636
Harold W. Elder,"Elder, Harold W.",7006416636
Harris Schlesinger,"Schlesinger, Harris",7006770651
Harry H. Kelejian,"Kelejian, Harry H.",6603470501
Harry Holzer,"Holzer, Harry J.",7103389076
Harry Kelejian,"Kelejian, Harry H.",6603470501
Harry M. Cleaver,"Cleaver, Harry M.",6506188214
Harry M. Cleaver Jr.,"Cleaver, Harry M.",6506188214
Harry M. Kaiser,"Kaiser, Harry",7202601585
Harumi Ito,"Ito, Harumi",8646823300
Harvey Cutler,"Cutler, Harvey",7003890922
Harvey E. Lapan,"Lapan, Harvey E.",6701610761
Harvey Lapan,"Lapan, Harvey E.",6701610761
Harvey Palmer,"Palmer, Harvey D.",36917342200
Haynes Goddard,"Goddard, Haynes C.",7004554226
Heather Elms,"Elms, Heather",6508105894
Hector Chade,"Chade, Hector",6602184580
HeeMin Kim,"Kim, Heemin",57203629682
Heejoon Kang,"Kang, Heejoon",7404071603
Heinz Michael Schaettler,"Schaettler, Heinz M.",15734238400
Helen H. Jensen,"Jensen, Helen H.",7402097496
Helen Ladd,"Ladd, Helen F.",7003409629
Helen Roberts,"Roberts, Helen",55416201300
Helen V. Tauchen,"Tauchen, Helen V.",6506803873
Henning Bohn,"Bohn, Henning",7102260860
Henry Grabowski,"Grabowski, Henry G.",7006644573
Henry Saffer,"Saffer, Henry",6603866495
Henry Schwalbenberg,"Schwalbenberg, Henry M.",6506901871
Henry W. Chappell,"Chappell, Henry W.",35808949200
Henry W. Herzog,"Herzog, Henry W.",7201517694
Henry Wan,"Wan, Henry Y.",55559882900
Herakles Polemarchakis,"Polemarchakis, Herakles M.",6603532461
Herbert Gintis,"Gintis, Herbert M.",6701805623
Herbert H. Fullerton,"Fullerton, Herbert H.",57198181664
Herman J. Bierens,"Bierens, Herman J.",6602239955
Herschel I. Grossman,"Grossman, Herschel I.",7102944828
Herve Moulin,"Moulin, Hervé J.",7004297002
Hideo Konishi,"Konishi, Hideo",7202195938
Hilary Hoynes,"Hoynes, Hilary Williamson",6603471571
Hilary W. Hoynes,"Hoynes, Hilary Williamson",6603471571
Hiroki Tsurumi,"Tsurumi, Hiroki",7007109494
Hoffman,"Hoffman, Philip T.",7202878685
Holger C. Wolf,"Wolf, Holger C.",7402796263
Holger Sieg,"Sieg, Holger",6602150854
Holger Wolf,"Wolf, Holger C.",7402796263
Hong Yan,"Yan, Hong",56123271700
Hongbin Cai,"Cai, Hongbin",13610607000
Horst Raff,"Raff, Horst",7102988341
Hossein Kazemi,"Kazemi, Hossein S.",23970595200
Houston H. Stokes,"Stokes, Houston H.",7006683656
Houston Stokes,"Stokes, Houston H.",7006683656
Howard Marvel,"Marvel, Howard P.",6508065609
Howard Wachtel,"Wachtel, Howard M.",7006512019
Hoyt N. Wheeler,"Wheeler, Hoyt N.",13006784400
Hrishikesh D. Vinod,"Vinod, Hrishikesh D.",6603768691
Hsueh-Ling Huynh,"Huynh, Hsueh Ling",16406081200
Hugh E. Kelley,"Kelley, Hugh",7005427726
Hugh E.M. Kelley,"Kelley, Hugh",7005427726
Hugh Kelley,"Kelley, Hugh",7005427726
Hugo A. Hopenhayn,"Hopenhayn, Hugo A.",6602109586
Hugo Benitez-Silva,"Benítez-Silva, Hugo",7801442051
Hui On-Yang,"Ou-Yang, Hui",8871589200
Hui Ou-Yang,"Ou-Yang, Hui",8871589200
Huntley Schaller,"Schaller, Huntley",7101850882
Huseyin Yildirim,"Yildirim, Hüseyin",7005108849
Huston McCulloch,"McCulloch, J. Huston",7103341847
Huw Lloyd-Ellis,"Lloyd-Ellis, Huw",6602303699
Hélène Rey,"Rey, Hélène",7005785064
I M. Destler,"Destler, I. M.",6506234655
Ian Domowitz,"Domowitz, Ian",6701809311
Ian Gale,"Gale, Ian L.",7003560681
Ian L. Gale,"Gale, Ian L.",7003560681
Ian M. Sheldon,"Sheldon, Ian M.",36840355500
Ian Sheldon,"Sheldon, Ian M.",36840355500
Ian W. McKeague,"McKeague, Ian W.",6701308305
Ieuan G. Morgan,"Morgan, Ieuan G.",7102095514
Ig Horstmann,"Horstmann, Ignatius J.",6602473660
Igal Hendel,"Hendel, Igal",6602958112
Ignacio Palacios-Huerta,"Palacios-Huerta, Ignacio",6602208728
Ignatius Horstmann,"Horstmann, Ignatius J.",6602473660
Ilya Segal,"Segal, Ilya R.",7103331291
In-Koo Cho,"Cho, In-koo",7102561791
Ingmar R. Prucha,"Prucha, Ingmar R.",6603920168
Ingo Vogelsang,"Vogelsang, Ingo",56633265900
Ira Gang,"Gang, Ira",6604093588
Ira N. Gang,"Gang, Ira",6604093588
Irina Khindanova,"Khindanova, Irina",57202373049
Irma Adelman,"Adelman, Irma",7004350087
Isaac Ehrlich,"Ehrlich, Isaac",56011408200
Isaac Megbolugbe,"Megbolugbe, Isaac F.",6601946676
Isabelle Perrigne,"Perrigne, Isabelle M.",6603116427
Issabelle Perrigne,"Perrigne, Isabelle M.",6603116427
Ivana Komunjer,"Komunjer, Ivana",8605234200
Ivo Welch,"Welch, Ivo",7003982192
Iwan J. Azis,"Azis, Iwan Jaya",6603261116
J S. Butler,"Butler, John Scott",7403925856
J. B. Smith,"Butler, John Scott",7403925856
J. Bradford DeLong,"DeLong, James Bradford",56246409100
J. Bradford Delong,"DeLong, James Bradford",56246409100
J. David Hardison,"Hardison, James David",7006537207
J. David Richardson,"Richardson, J. David",55463091400
J. Huston McCulloch,"McCulloch, J. Huston",7103341847
J. Luis Guasch,"Guasch, José Luis",7006287502
J. Miguel Villas-Boas,"Villas-Boas, J. Miguel",36874874200
J. Mohan Rao,"Rao, J. Mohan",57225688685
J. Richard Aronson,"Aronson, J. Richard",7202580701
J. Scott Long,"Long, J. Scott",7403446441
J. Thomas Sjostrom,"Sjöström, Tomas",6602154937
J. Tomas Sjostrom,"Sjöström, Tomas",6602154937
J. Tomas Sjöström,"Sjöström, Tomas",6602154937
J. Vernon Henderson,"Henderson, J. Vernon",7801493347
J.B. Burbridge,"Burbidge, John B.",7003539397
J.R. De Shazo,"DeShazo, J. R.",6602870758
J.R. DeShazo,"DeShazo, J. R.",6602870758
Jack M. Mintz,"Mintz, Jack M.",7101903754
Jack Meyer,"Meyer, Jack",7406097816
Jack Mintz,"Mintz, Jack M.",7101903754
Jack Minz,"Mintz, Jack M.",7101903754
Jack Ochs,"Ochs, Jack",7005135356
Jack Porter,"Porter, Jack R.",7403426715
Jack Robles,"Robles, Jack",7006054471
Jacob G. Bimberg,"Birnberg, Jacob G.",16502023100
Jacob G. Birnberg,"Birnberg, Jacob G.",16502023100
Jacob Goeree,"Goeree, Jacob K.",7003736000
Jacob L. Vigdor,"Vigdor, Jacob L.",6603347234
Jacob Vigdor,"Vigdor, Jacob L.",6603347234
Jacqueline Geoghegan,"Geoghegan, Jacqueline",7004233013
Jacqueline Meszaros,"Meszaros, Jacqueline R.",7005194661
Jacques Lawarree,"Lawarree, Jacques",6603395017
Jacques P. Lawarree,"Lawarree, Jacques",6603395017
Jaime Ros,"Ros, Jaime",7101601845
Jake Birnberg,"Birnberg, Jacob G.",16502023100
James A. Lehman,"Lehman, James A.",16219480500
James A. Levinsohn,"Levinsohn, James A.",6603154540
James A. Wilcox,"Wilcox, James A.",7102877473
James Albrecht,"Albrecht, James W.",7202623033
James Alm,"Alm, James R.",7004855546
James Anderson,"Anderson, James E.",56876003500
James Andreoni,"Andreoni, James",6701663060
James Boyce,"Boyce, James K.",7201747318
James Brander,"Brander, James A.",7003941290
James Bullard,"Bullard, James B.",7004689146
James C. Cox,"Cox, James C.",7404023571
James Cover,"Cover, James Peery",6701676884
James Cox,"Cox, James C.",7404023571
James Crotty,"Crotty, James R.",7003866021
James D. Gwartney,"Gwartney, James D.",7801476854
James D. Hamilton,"Hamilton, James D.",7403704966
James Dana,"Dana, James D.",7004123557
James Dearden,"Dearden, James A.",7006010092
James E. Anderson,"Anderson, James E.",56876003500
James E. T. Moncur,"Moncur, James E.T.",7004192721
James Eales,"Eales, James S.",7005254668
"James F. Burgess, Jr.","Burgess, James F.",26643600300
James F. Oehmke,"Oehmke, James Francis",6603377988
James F. Ragan,"Ragan, James F.",7003948075
James Fackler,"Fackler, James C.",7005144643
James Foster,"Foster, James E.",7403380760
James G. MacKinnon,"Mackinnon, James G.",7006126360
James Garrison,"Garrison, Jim W.",16405930800
James Geaghan,"Geaghan, James P.",6602722655
James Griffin,"Griffin, James M.",55436266500
James H. Cobbe,"Cobbe, James H.",6602738361
James H. Gapinski,"Gapinski, James H.",7003693014
James H. Peoples,"Peoples, James H.",7007177218
James H. Stock,"Stock, James H.",7202122235
James Hamilton,"Hamilton, James D.",7403704966
James Heckman,"Heckman, James J.",7102737699
James Heintz,"Heintz, James",7005967659
James Hines,"Hines, James R.",35622108100
James J. Heckman,"Heckman, James J.",7102737699
James K. Boyce,"Boyce, James K.",7201747318
James K. Galbraith,"Galbraith, James K.",7103300698
James L. Butkiewicz,"Butkiewicz, James L.",6602775999
James L. Powell,"Powell, James L.",7403542084
James Levinsohn,"Levinsohn, James A.",6603154540
James Lowenberg-Deboer,"Lowenberg-DeBoer, James",35588900900
James M. Nason,"Nason, James M.",7004277360
James M. Patton,"Patton, James M.",36848359600
James M. Poterba,"Poterba, James M.",7003911528
James M. Snyder,"Snyder, James M.",7401499166
James M. Snyder Jr.,"Snyder, James M.",7401499166
James M. Walker,"Walker, James M.",57208806519
James MacKinnon,"Mackinnon, James G.",7006126360
James Mak,"Mak, James",7103323098
James Markusen,"Markusen, James R.",6701639317
James Marvin Walker,"Walker, James M.",57208806519
James Miller,"Miller, James Edward",57214125575
James Morley,"Morley, James",7403144169
James N. Brown,"Brown, James N.",57212244193
James Oehmke,"Oehmke, James Francis",6603377988
James P. Gander,"Gander, James P.",7005799003
James P. Lynch,"Lynch, James P.",7403674991
James Peck,"Peck, James",7102796627
James Peoples,"Peoples, James H.",7007177218
James Pesando,"Pesando, James E.",22981074400
James Poterba,"Poterba, James M.",7003911528
James R. Aim,"Alm, James R.",7004855546
James R. Alm,"Alm, James R.",7004855546
James R. Barth,"Barth, James R.",35791509900
James R. Fain,"Fain, James R.",7103078264
James R. Hines,"Hines, James R.",35622108100
James R. Hines Jr.,"Hines, James R.",35622108100
James R. Markusen,"Markusen, James R.",6701639317
James R. Stanfield,"Stanfield, James Ronald",57196589506
James R. Tybout,"Tybout, James R.",6601957054
James R. Walker,"Walker, James R.",7405590615
James Ragan,"Ragan, James F.",7003948075
James Rakowski,"Rakowski, James P.",7003659493
James Rauch,"Rauch, James E.",7102683888
James Richardson,"Richardson, James",55463094200
James Roumasset,"Roumasset, James A.",6601939975
James S. Jordan,"Jordan, James S.",24306509400
James Shortle,"Shortle, James S.",7003552368
James Snyder,"Snyder, James M.",7401499166
James Sturgeon,"Sturgeon, James I.",36823117200
James Trussell,"Trussell, J.",7006607903
James Tybout,"Tybout, James R.",6601957054
James W. Albrecht,"Albrecht, James W.",7202623033
James W. Dean,"Dean, James W.",37086223400
James W. Mjelde,"Mjelde, James W.",7003433000
James Ziliak,"Ziliak, James P.",6602851659
Jamie B. Kruse,"Kruse, Jamie Brown",7102491600
Jan I. Ondrich,"Ondrich, Jan I.",6603556825
Jan K. Brueckner,"Brueckner, Jan K.",7006247659
Jan Ondrich,"Ondrich, Jan I.",6603556825
Jan Stallaert,"Stallaert, Jan I.A.",6603312379
Jan Svejnar,"Svejnar, Jan",6603841507
Jan Werner,"Werner, Jan",7403266272
Jane Friesen,"Friesen, Jane",7005272515
Jane G. Mauldon,"Mauldon, Jane Gilbert",6603427079
Jane Mauldon,"Mauldon, Jane Gilbert",6603427079
Janet Currie,"Currie, Janet M.",7202634709
Janet E. Kohlhase,"Kohlhase, Janet E.",8509936300
Janet Kohlhase,"Kohlhase, Janet E.",8509936300
Janet Netz,"Netz, Janet S.",7003594755
Jang-Ting Guo,"Guo, Jangting",7404488477
Janice B. Breuer,"Breuer, Janice Boucher",55664529700
Janis Carey,"Carey, Janis M.",7402685621
Janis M. Carey,"Carey, Janis M.",7402685621
Janusz Ordover,"Ordover, Janusz A.",6508013196
Jarl Kallberg,"Kallberg, Jarl G.",6602606209
Jarrad Harford,"Harford, Jarrad",56271139400
Jason Abrevaya,"Abrevaya, Jason",6603457657
Jason Cummins,"Cummins, Jason G.",7102212488
Jason G. Cummins,"Cummins, Jason G.",7102212488
Jaume Ventura,"Ventura, Jaume",7102389013
Jay B. DeLong,"DeLong, James Bradford",56246409100
Jay Bhattacharya,"Bhattacharya, Jay",7102596142
Jay Coggins,"Coggins, Jay S.",7005034952
Jay Levin,"Levin, Jay H.",7403286263
Jay Pil Choi,"Choi, Jay Pil",7501392284
Jean Boivin,"Boivin, Jean",7103033473
Jean Francois Richard,"Richard, Jean François",57202768604
Jean Gauger,"Gauger, Jean A.",7004179170
Jean Kinsey,"Kinsey, Jean D.",7101820598
Jean Lanjouw,"Lanjouw, Jean Olson",6603828815
Jean Paul Chavas,"Chavas, Jean Paul",7003328388
Jean Stockard,"Stockard, Jean",7003319965
Jean-Claude Thill,"Thill, Jean Claude",7003415979
Jean-Francois Richard,"Richard, Jean François",57202768604
Jean-Jacques Laffont,"Laffont, Jean Jacques",7006498596
Jean-Laurent Rosenthal,"Rosenthal, Jean Laurent",7202963129
Jean-Paul Chavas,"Chavas, Jean Paul",7003328388
Jean-Pierre Benoit,"Benoît, Jean-Pierre",7202016735
Jeff A. Krautkraemer,"Krautkraemer, Jeffrey A.",6602665608
Jeff Biddle,"Biddle, Jeff E.",7004004119
Jeff Campbell,"Campbell, Jeffrey R.",7404876855
Jeff E. Biddle,"Biddle, Jeff E.",7004004119
Jeff Grobman,"Grobman, Jeffrey H.",15744216700
Jeff LaFrance,"LaFrance, Jeffrey T.",6601962551
Jeff Perlof,"Perloff, Jeffrey M.",7103404754
Jeff Strnad,"Strnad, Jeff",16465776400
Jeff Talbert,"Talbert, Jeffery Charles",7005292585
Jeff Whittle,"Whittle, Jeff",7101711782
Jeff Wooldridge,"Wooldridge, Jeffrey M.",7005740338
Jeffery B. Nugent,"Nugent, Jeffrey B.",7005380780
Jeffrey A. Dubin,"Dubin, Jeffrey A.",7005659468
Jeffrey A. Frankel,"Frankel, Jeffrey A.",7102349472
Jeffrey Andrew Smith,"Smith, Jeffrey Andrew",57203533753
Jeffrey B. Miller,"Miller, Jeffrey B.",7501605012
Jeffrey Banks,"Banks, Jeffrey S.",7202965890
Jeffrey C. Ely,"Ely, Jeffrey",7102396845
Jeffrey Church,"Church, Jeffrey",7201942749
Jeffrey E. Campbell,"Campbell, Jeffrey E.",7404875910
Jeffrey Ely,"Ely, Jeffrey",7102396845
Jeffrey Gale Williamson,"Williamson, Jeffrey G.",7403199621
Jeffrey Gould,"Gould, Jeffrey L.",26657288200
Jeffrey Grogger,"Grogger, Jeffrey T.",6603829811
Jeffrey LaFrance,"LaFrance, Jeffrey T.",6601962551
Jeffrey M. Perloff,"Perloff, Jeffrey M.",7103404754
Jeffrey M. Wooldridge,"Wooldridge, Jeffrey M.",7005740338
Jeffrey MacKie-Mason,"MacKie-Mason, Jeffrey K.",6603759295
Jeffrey Marc Wooldridge,"Wooldridge, Jeffrey M.",7005740338
Jeffrey Miller,"Miller, Jeffrey B.",7501605012
Jeffrey Mills,"Mills, Jeffrey A.",7402861872
Jeffrey Nugent,"Nugent, Jeffrey B.",7005380780
Jeffrey Perloff,"Perloff, Jeffrey M.",7103404754
Jeffrey R. Campbell,"Campbell, Jeffrey R.",7404876855
Jeffrey S. Zax,"Zax, Jeffrey S.",6602500728
Jeffrey Scot Banks,"Banks, Jeffrey S.",7202965890
Jeffrey Smith,"Smith, Jeffrey Andrew",57203533753
Jeffrey T. Grogger,"Grogger, Jeffrey T.",6603829811
Jeffrey Williams,"Williams, Jeffrey C.",55499943900
Jeffrey Williamson,"Williamson, Jeffrey G.",7403199621
Jeffrey Woodridge,"Wooldridge, Jeffrey M.",7005740338
Jeffrey Wooldridge,"Wooldridge, Jeffrey M.",7005740338
Jeffrey Zax,"Zax, Jeffrey S.",6602500728
Jennifer F. Reinganum,"Reinganum, Jennifer F.",6602694613
Jennifer M. George,"George, Jennifer M.",35608977600
Jennifer Reinganum,"Reinganum, Jennifer F.",6602694613
Jere R. Behrman,"Behrman, Jere Richard",7006516129
Jeremy Atack,"Atack, Jeremy",7005478063
Jeremy Greenwood,"Greenwood, Jeremy",7202724792
Jeremy I. Bulow,"Bulow, Jeremy I.",7006660183
Jeremy Stein,"Stein, Jeremy C.",7402750873
Jerry A Hausman,"Hausman, Jerry A.",7006286384
Jerry A. Hausman,"Hausman, Jerry A.",7006286384
Jerry Green,"Green, Jerry R.",24347287000
Jerry Hausman,"Hausman, Jerry A.",7006286384
Jerry White,"White, Jerry P.",7405245990
Jess Benhabib,"Benhabib, Jess",6701845739
Jess Lowenberg-DeBoer,"Lowenberg-DeBoer, James",35588900900
Jesse Schwartz,"Schwartz, Jesse A.",55469558900
Jiang Wang,"Wang, Jiang",7701323997
Jie Gan,"Gan, Jie",36897652900
Jill McCluskey,"McCluskey, Jill J.",7103404192
Jim Albrecht,"Albrecht, James W.",7202623033
Jim Andreoni,"Andreoni, James",6701663060
Jim Heckman,"Heckman, James J.",7102737699
Jim Levinsohn,"Levinsohn, James A.",6603154540
Jim Powell,"Powell, James L.",7403542084
Jim Prieger,"Prieger, James E.",6603124121
Jim Stock,"Stock, James H.",7202122235
Jim Sturgeon,"Sturgeon, James I.",36823117200
Jimmy Chan,"Chan, Jimmy H.",24376108500
Jin Man Lee,"Lee, Jin-man",7601485279
Jinill Kim,"Kim, Jinill",7601384280
Jinyoung Kim,"Kim, Jinyoung",7601365811
Joan R. Kahn,"Kahn, Joan R.",7402544152
Joe Ferrie,"Ferrie, Joseph P.",7004979366
Joe Finnerty,"Finnerty, Joe",36166546900
Joe Oppenheimer,"Oppenheimer, Joe A.",7102985143
Joe Schatzer,"Schatzer, Raymond Joe",6506431825
Joe Stone,"Stone, Joe A.",7403061576
Joel Demski,"Demski, Joel S.",6603908700
Joel Fried,"Fried, Joel",36820436100
Joel L. Horowitz,"Horowitz, Joel L.",7201833855
Joel Mokyr,"Mokyr, Joel",6602905204
Joel Slemrod,"Slemrod, Joel B.",6701677208
Joel Sobel,"Sobel, Joel",7101897288
Joel Watson,"Watson, Joel C.",7404154640
John A. Bishop,"Bishop, John A.",22984201900
John A. Carlson,"Carlson, John A.",7402114693
John A. Miranowski,"Miranowski, John A.",6602455217
John A. Strauss,"Strauss, John",57923621000
John Abowd,"Abowd, John M.",6603611569
John Addison,"Addison, John T.",35320878200
John Alford,"Alford, John",7005185020
John Antel,"Antel, John J.",57189420257
John B. Braden,"Braden, John B.",7005001247
John B. Donaldson,"Donaldson, John B.",7202497364
John B. Shoven,"Shoven, John B.",6506516828
John B. Taylor,"Taylor, John B.",7405407924
John Barron,"Barron, John M.",35616774700
John Bound,"Bound, John",7006944507
John C. Driscoll,"Driscoll, John C.",7202271590
John C. Haltiwanger,"Haltiwanger, John C.",6701823402
John C. Ham,"Ham, John C.",7102057978
John C. Hause,"Hause, John C.",6602300852
John C. Heaton,"Heaton, John C.",7102998555
John C. Hull,"Hull, John C.",7202421303
John C. Panzar,"Panzar, John C.",6507756424
John Campbell,"Campbell, John Y.",16446204900
John Carlson,"Carlson, John A.",7402114693
John Chalmers,"Chalmers, John M.R.",7202025195
John Chao,"Chao, John C.",12646317600
John Charnes,"Charnes, John M.",6603956374
John Cochrane,"Cochrane, John H.",56187272800
John Conley,"Conley, John P.",7202572902
John Conlisk,"Conlisk, John",6603525064
John Cragg,"Cragg, John G.",6601955862
John Crespi,"Crespi, John M.",6701655833
John D. Angrist,"Angrist, Joshua D.",7004017860
John D. Jackson,"Jackson, John D.",35380567800
John D. Nardo,"DiNardo, John E.",7003972408
John Devereux,"Devereux, John",7005155437
John DiNardo,"DiNardo, John E.",7003972408
John Donaldson,"Donaldson, John B.",7202497364
John Drobak,"Drobak, John N.",55824612500
John Duffy,"Duffy, John",56450132900
John E. Kwoka,"Kwoka, John E.",6602734217
John E. McLaren,"McLaren, John",7101863759
John E. Tilton,"Tilton, John E.",7005093261
John Edward McLaren,"McLaren, John",7101863759
John F. Stewart,"Stewart, John F.",7404791098
John Formby,"Formby, John P.",7003953338
John G. Pomery,"Pomery, John G.",6505948382
John G. Riley,"Riley, John G.",7402484495
John Garen,"Garen, John E.",6603307228
John Geanakoplos,"Geanakoplos, John D.",6602797318
John Geweke,"Geweke, John",6701567319
John Gewke,"Geweke, John",6701567319
John Gilbert,"Gilbert, John",21736912800
John Giles,"Giles, John",57203176035
John Goddeeris,"Goddeeris, John H.",6602160635
John Gowdy,"Gowdy, John M.",7005707658
John Graveel,"Graveel, John G.",6602297194
John H. Boyd,"Boyd, John Hayden",13310394600
John H. Cochrane,"Cochrane, John H.",56187272800
John H. Evans III,"Evans, John Harry",55476171100
John H. Goddeeris,"Goddeeris, John H.",6602160635
