adv,adv_scopus-name,adv_scopus
Arthur L. Stoecker,"Stoecker, Arthur L.",14043878600
Arthur Lewbel,"Lewbel, Arthur",6602829966
Arthur Robson,"Robson, Arthur J.",7102089902
Arthur S. De Vany,"de Vany, Arthur S.",57124918700
Arthur Snow,"Snow, Arthur",7103019950
Arthur T. Denzau,"Denzau, Arthur T.",6506501442
Arturo Bris,"Bris, Arturo",8209678100
Arun S. Malik,"Malik, Arun S.",7402152883
Arun S. Malik,"Malik, Arun S.",7402152883
Arvind Panagariya,"Panagariya, Arvind",7005704853
Arvind Pangariya,"Panagariya, Arvind",7005704853
Asghar Zardkoohi,"Zardkoohi, Asghar",6603322505
Asher Wolinsky,"Wolinsky, Asher",6603615280
Atila Abdulkadiroglu,"Abdulkadiroǧlu, Atila",6508019089
Attiat F. Ott,"Ott, Attiat F.",7102503163
Attiat Ott,"Ott, Attiat F.",7102503163
Audra Bowlus,"Bowlus, Audra J.",6602206374
Audra J. Bowlus,"Bowlus, Audra J.",6602206374
Audrey L. Light,"Light, Audrey",7005780879
Audrey Light,"Light, Audrey",7005780879
Avik Chakrabarti,"Chakrabarti, Avik",7202579477
Avinash Dixit,"Dixit, Avinash",55824766400
Aviv Nevo,"Nevo, Aviv",7003322815
Avner Greif,"Greif, Avner",6603951618
Avraham Kamara,"Kamara, Avraham",14522687200
Azizur R. Khan,"Khan, Azizur Rahman",7404909841
B Ravikumar,"Ravikumar, B.",7004224889
B. Douglas Bernheim,"Bernheim, B. Douglas",6701894742
B. Eichengreen,"Eichengreen, Barry J.",7005233386
Badi Baltagi,"Baltagi, Badi H.",7004421421
Bang N. Jeon,"Jeon, Bangnam",13004984200
Baohong Sun,"Sun, Baohong",7401984348
Barbara Curry,"Curry, Barbara K.",36156092600
Barbara F. Meeker,"Meeker, Barbara Foley",7003478475
Barbara M. Gatewood,"Gatewood, Barbara M.",6701769065
Barbara Mellers,"Mellers, Barbara A.",7003686114
Barbara Robles,"Robles, Bárbara J.",21739632500
Barbara Rossi,"Rossi, Barbara",9243821300
Barbara Wolfe,"Wolfe, Barbara L.",7201861917
Barry Chiswick,"Chiswick, Barry R.",7004373198
Barry Eichengreen,"Eichengreen, Barry J.",7005233386
Barry Falk,"Falk, Barry L.",7101998487
Barry Goodwin,"Goodwin, Barry K.",7102174257
Barry Jones,"Jones, Barry E.",55709597300
Barry Julian Eichengreen,"Eichengreen, Barry J.",7005233386
Barry K. Goodwin,"Goodwin, Barry K.",7102174257
Barry L. Falk,"Falk, Barry L.",7101998487
Barry W. Ickes,"Ickes, Barry W.",6602420862
Bart Lipman,"Lipman, Barton L.",7003673566
Bartholomew J. Moore,"Moore, Bartholomew J.",7402320204
Bartlomiej Kaminski,"Kamiński, Bartłomiej",7005682922
Bartolomiej Kaminski,"Kamiński, Bartłomiej",7005682922
Basma Bekdache,"Bekdache, Basma",6505956030
Basudeb Biswas,"Biswas, Basudeb",14035149900
Beatrix Paal,"Paal, Beatrix",6603175115
Behzad Diba,"Diba, Behzad T.",6506806820
Ben Baack,"Baack, Ben D.",24513063700
Ben Bernanke,"Bernanke, Ben S.",6603742639
Ben McCallum,"McCallum, Bennett T.",7004507510
Ben S. Bernanke,"Bernanke, Ben S.",6603742639
Ben Scafidi,"Scafidi, Benjamin P.",6603304118
Ben Senauer,"Senauer, Benjamin E.",6603659466
Bengt Holmstrom,"Holmström, Bengt R.",7005725158
Bengt Holmström,"Holmström, Bengt R.",7005725158
Benjamin Chabot,"Chabot, Benjamin R.",36493809400
Benjamin Friedman,"Friedman, Benjamin M.",7201672888
Benjamin Hermalin,"Hermalin, Benjamin E.",6602431067
Benjamin Klein,"Klein, Benjamin",56238848100
Benjamin M. Friedman,"Friedman, Benjamin M.",7201672888
Benjamin Polak,"Polak, Ben",7005931636
Bent Sorensen,"Sørensen, Bent E.",7201532199
Bentley Macleod,"Macleod, W. Bentley",7005067922
Benton E. Gup,"Gup, Benton E.",6506167873
Bernard Bialecki,"Bialecki, Bernard",7003661113
Bernard Morzuch,"Morzuch, Bernard J.",8639541200
Bernard Yeung,"Yeung, Bernard Y.",7007031416
Bernd Hayo,"Hayo, Bernd",6602676810
Bernt Bratsberg,"Bratsberg, Bernt",6701782025
Beth Allen,"Allen, Beth E.",7401698136
Beth Ingram,"Ingram, Beth Fisher",7004405299
Betty C. Daniel,"Daniel, Betty C.",7102039871
Bev Dahlby,"Dahlby, Bev G.",6603272073
Beverly Lapham,"Lapham, Beverly J.",6506453568
Bhagwan Chowdhry,"Chowdhry, Bhagwan",7006967882
Bhaskaran Swaminathan,"Swaminathan, Bhaskaran",7005565630
Bilge Yilmaz,"Yilmaz, Bilge",7006501993
Bill Collins,"Collins, Bill",53879464200
Bill Dupor,"Dupor, Bill",6603559800
Bill Gentry,"Gentry, William M.",56234827000
Bill Johnson,"Johnson, William R.",24343962700
Bill Rogerson,"Rogerson, William P.",6508332520
Billy P. Helms,"Helms, Billy P.",24393405900
Bin Xu,"Xu, Bin",55245605900
Bjorn Eraker,"Eraker, Bjørn",7801345021
Bjorn Eraker,"Eraker, Bjørn",7801345021
Blake LeBaron,"LeBaron, Blake D.",6701337045
Bo E. Honoré,"Honoré, Bo E.",7006406038
Bo Honore,"Honoré, Bo E.",7006406038
Bo Honoré,"Honoré, Bo E.",7006406038
Bob Jarrow,"Jarrow, Robert A.",6701861348
Bossaerts,"Bossaerts, Peter",6602160746
Botond Koszegi,"Köszegi, Botond",6602526741
Boyan Jovanivic,"Jovanovic, Boyan",7005701459
Boyan Jovanovic,"Jovanovic, Boyan",7005701459
Brad Jordan,"Jordan, Brad",7202147896
Bradford Barham,"Barham, Bradford L.",7004177835
Bradford Jordan,"Jordan, Bradford D.",7202147225
Bradley T. Ewing,"Ewing, Bradley T.",7005781888
Brendan O'flaherty,"O'Flaherty, Brendan",6602588097
Brent Goldfarb,"Goldfarb, Brent D.",21733645300
Brent Sohngen,"Sohngen, Brent L.",6603700153
Brett Katzman,"Katzman, Brett E.",8334493000
Brian D. Wright,"Wright, Brian D.",7402346837
Brian E. Roberts,"Roberts, Brian E.",36741841900
Brian Krauth,"Krauth, Brian V.",8886365000
Brian L. Buhr,"Buhr, Brian L.",6603310632
Brian Phillips,"Phillips, Brian J.",35180197400
Brian R. Copeland,"Copeland, Brian R.",7005933555
Brian Ratchford,"Ratchford, Brian T.",6601908752
Brian Roe,"Roe, Brian Eric",7102359355
Brian Skyrms,"Skyrms, Brian",6602165467
Brian Wright,"Wright, Brian D.",7402346837
Bronwyn H. Hall,"Hall, Bronwyn H.",7401720259
Bronwyn Hughes Hall,"Hall, Bronwyn H.",7401720259
Bruce A. Babcock,"Babcock, Bruce A.",7003978816
Bruce A. Blonigen,"Blonigen, Bruce A.",35613928700
Bruce A. McCarl,"McCarl, Bruce A.",7005687334
Bruce Blonigen,"Blonigen, Bruce A.",35613928700
Bruce D. Smith,"Smith, Bruce D.",35494272100
Bruce E. Hansen,"Hansen, Bruce E.",7403019055
Bruce E. Lehmann,"LEHMANN, BRUCE",7102853750
Bruce Fuller,"Fuller, Bruce C.",7102974634
Bruce Hamaker,"Hamaker, Bruce R.",7003272286
Bruce Hamilton,"Hamilton, Bruce W.",7202535210
Bruce Hansen,"Hansen, Bruce E.",7403019055
Bruce L. Benson,"Benson, Bruce L.",35619751500
Bruce L. Jaffee,"Jaffee, Bruce L.",7006752350
Bruce Laurie,"Laurie, Bruce",56936820700
Bruce Lehmann,"LEHMANN, BRUCE",7102853750
Bruce Mizrach,"Mizrach, Bruce",7801350064
Bruce N. Lehmann,"LEHMANN, BRUCE",7102853750
Bruce Petersen,"Petersen, Bruce C.",7201499521
Bruce Piasecki,"Piasecki, Bruce W.",6602157986
Bruce Preston,"Preston, Bruce",10439211000
Bruce Seaman,"Seaman, Bruce A.",6603827914
Bruce T. Elmsiie,"Elmslie, Bruce T.",6602073905
Bruce T. Elmslie,"Elmslie, Bruce T.",6602073905
Bruce Vogel,"Vogel, W. Bruce",55666738200
Bruce Weinberg,"Weinberg, Bruce A.",7005174190
Bruno Gerard,"Gérard, Bruno",7005674225
Bryan Boulier,"Boulier, Bryan L.",6603107723
Bryan Campbell,"Campbell, Bryan",7403279961
Bryan Caplan,"Caplan, Bryan",7006554030
Bryan Dowd,"Dowd, Bryan E.",7006440979
Bryan Ellickson,"Ellickson, Bryan",8438357800
Bryan W. Brown,"Brown, Bryan W.",16028070900
Burt Abrams,"Abrams, Burton A.",7006200519
Burt Barnow,"Barnow, Burt S.",22984056000
Burton Hollifield,"Hollifield, Burton",56154737700
Burton Malkiel,"Malkiel, Burton Gordon",6602119998
Burton Weisbrod,"Weisbrod, Burton A.",6701410902
Butler,"Butler, John Scott",7403925856
Byron Gangnes,"Gangnes, Byron S.",6506064150
Byron S. Gangnes,"Gangnes, Byron S.",6506064150
Byung-Joo Lee,"Lee, Byung Joo",55682884500
C H. Lam,"Lam, Matthew Chi Ho",15826352900
C. James Hueng,"Hueng, C. James",6507424862
C. M. Fan,"Fan, Chuenmei",13007744200
C. Russell Mayo,"Mayo, C. Russell",57202652819
C.A. Knox Lovell,"Lovell, C. A.Knox",7102652654
C.M. Fan,"Fan, Chuenmei",13007744200
Canice Prendergast,"Prendergast, Canice J.",7003650420
Carl Davidson,"Davidson, Carl",24486718300
Carl E. Shafer,"Shafer, Carl E.",7003609619
Carl E. Walsh,"Walsh, Carl E.",7401952498
Carl Eicher,"Eicher, Carl K.",6603567284
Carl Liedholm,"Liedholm, Carl E.",6602977238
Carl Nelson,"Nelson, Carl H.",7403704258
Carl Nightingale,"Nightingale, Carl H.",13409201700
Carl Walsh,"Walsh, Carl E.",7401952498
Carlos A. Vegh,"Végh, Carlos A.",6603477130
Carlos D. Ramirez,"Ramirez, Carlos D.",7102424162
Carlos Martins-Filho,"Martins-Filho, Carlos",13606852000
Carlos Ramirez,"Ramirez, Carlos D.",7102424162
Carlos Vegh,"Végh, Carlos A.",6603477130
Carmelo Mesa-Lago,"Mesa-Lago, Carmelo",6603139873
Carmen Diana Deere,"Deere, Carmen Diana",6602858174
Carmen M. Reinhart,"Reinhart, Carmen María",7004974686
Carmen Reinhart,"Reinhart, Carmen María",7004974686
Carol Ann Rogers,"Rogers, Carol Ann",7402364170
Carol Baker,"Baker, Carol E.",7403629652
Carol L. Osler,"Osler, Carol L.",6701846168
Carol Weissert,"Weissert, Carol S.",6604029510
Caroline Betts,"Betts, Caroline M.",7007054063
Caroline Hoxby,"Hoxby, Caroline Minter",6602597836
Carollee Bengelsdorf,"Bengelsdorf, Carollee",6507898237
Carolyn A. Carroll,"Carroll, Carolyn",8268244500
Carolyn A. Madden,"Madden, Carolyn W.",35599918200
Carolyn Moehling,"Moehling, Carolyn M.",6507229806
Carolyn Watts,"Watts, Carolyn A.",7202525677
Carter Hill,"Hill, R. Carter",7404752138
Casey B. Mulligan,"Mulligan, Casey B.",7006017367
Casey Mulligan,"Mulligan, Casey B.",7006017367
Catherine C. Eckel,"Eckel, Catherine C.",7003583590
Catherine Eckel,"Eckel, Catherine C.",7003583590
Catherine J. Morrison Paul,"Morrison Paul, Catherine J.",6701401778
Catherine Kling,"Kling, Catherine L.",7003791139
Catherine Louise Kling,"Kling, Catherine L.",7003791139
Catherine Wolfram,"Wolfram, Catherine D.",6603635875
Cathy Carrol,"Carroll, Carolyn",8268244500
Chad Syverson,"Syverson, Chad",6602935589
Chang-Jin Kim,"Kim, Chang-jin",24777982200
Chang-Tai Hsieh,"Hsieh, Changtai",14054161800
Channing Arndt,"Arndt, Channing",56186358900
Charalambos Aliprantis,"Aliprantis, Charalambos D.",6701428640
Charalambos D. Aliprantis,"Aliprantis, Charalambos D.",6701428640
Charles A. De Bartolome,"de Bartolomé, Charles A.M.",6603584226
Charles B. Garrison,"Garrison, Charles B.",16434362200
Charles Ballard,"Ballard, Charles L.",7101938624
Charles Bischoff,"Bischoff, Charles W.",7006182646
Charles Blackorby,"Blackorby, Charles",6701340380
Charles Brown,"Brown, Charles C.",55478148800
Charles Calomiris,"Calomiris, Charles W.",6603792210
Charles Clotfelter,"Clotfelter, Charles T.",6602776316
Charles Craypo,"Craypo, Charles",6507718989
Charles D. DeLorme,"Delorme, Charles D.",7004575750
Charles D. Kolstad,"Kolstad, Charles D.",6603725191
Charles DeLorme,"Delorme, Charles D.",7004575750
Charles Engel,"Engel, Charles",7102989698
Charles F. Manski,"Manski, Charles F.",7003441111
Charles Geiss,"Geiss, Charles G.",6603770500
Charles Holt,"Holt, Charles A.",7202379995
Charles Hu,"Hu, Charles Y.",56943669500
Charles Hulten,"Hulten, Charles R.",6701610891
Charles Hultman,"Hultman, Charles W.",8907694000
Charles I. Jones,"Jones, Charles I.",57195422078
Charles Irving Jones,"Jones, Charles I.",57195422078
Charles Jones,"Jones, Charles I.",57195422078
Charles K. Rowley,"Rowley, Charles K.",7004551829
Charles Kahn,"Kahn, Charles M.",7201695946
Charles Lee,"Lee, Charles M.C.",55682270800
Charles M. Engel,"Engel, Charles",7102989698
Charles M. Kahn,"Kahn, Charles M.",7201695946
Charles Nelson,"Nelson, Charles R.",7403703776
Charles Noussair,"Noussair, Charles N.",6701537658
Charles Parrish,"Parrish, Charles J.",57189459607
Charles R Hulten,"Hulten, Charles R.",6701610891
Charles R. Knoeber,"Knoeber, Charles R.",6603069473
Charles R. Link,"Link, Charles R.",7102321956
Charles R. Nelson,"Nelson, Charles R.",7403703776
Charles R. Plott,"Plott, Charles R.",7004218524
Charles Romeo,"Romeo, Charles J.",36828047700
Charles Rowley,"Rowley, Charles K.",7004551829
Charles Swanson,"Swanson, Charles E.",36890919100
Charles W. Bischoff,"Bischoff, Charles W.",7006182646
Charles W. Calomiris,"Calomiris, Charles W.",6603792210
Charles Whiteman,"Whiteman, Charles H.",7005813094
Charles Wilson,"Wilson, Charles A.",56578915600
Charles d. Bartholome,"de Bartolomé, Charles A.M.",6603584226
Cheng Hsiao,"Hsiao, Cheng",35422484100
Cheng Wang,"Wang, Chengzhang",8452109000
Chin W. Yang,"Yang, Chinwei",7407735431
Ching-To Ma,"Ma, Ching To Albert",7402925175
Ching-to A. Ma,"Ma, Ching To Albert",7402925175
Chinhui Juhn,"Juhn, Chinhui",6602217134
Chris Bollinger,"Bollinger, Christopher R.",7004177362
Chris Cornwell,"Cornwell, Christopher M.",7003728968
Chris E. Hogan,"Hogan, Chris E.",7103232104
Chris Fawson,"Fawson, Christopher",6602262292
Chris M. Robinson,"Robinson, Chris",57198766778
Chris Murray,"Murray, Christian J.",57193752465
Chris Paxson,"Paxson, M. Chris",24318303900
Chris Robinson,"Robinson, Chris",57198766778
Chris Shannon,"Shannon, Chris",7006791120
Chris Udry,"Udry, Christopher R.",6603191591
Christian R. Ahlin,"Ahlin, Christian R.",23569525300
Christina D. Romer,"Romer, Christina D.",6603670579
Christina Kelton,"Kelton, Christina M.L.",8613737900
Christina Paxson,"Paxson, Christina H.",7004903184
Christina Romer,"Romer, Christina D.",6603670579
Christine Amsler,"Amsler, Christine E.",7005239201
Christine K. Ranney,"Ranney, Christine K.",6507365900
Christine Ranney,"Ranney, Christine K.",6507365900
Christophe Chamley,"Chamley, Christophe P.",6506102163
Christopher A. Sims,"Sims, Christopher A.",7102637898
Christopher Bollinger,"Bollinger, Christopher R.",7004177362
Christopher Carroll,"Carroll, Christopher D.",7101866161
Christopher Cornell,"Cornell, Christopher M.",11040725900
Christopher Cornwell,"Cornwell, Christopher M.",7003728968
Christopher D. Carroll,"Carroll, Christopher D.",7101866161
Christopher D. Timmins,"Timmins, Christopher D.",6602821952
Christopher Ellis,"Ellis, Christopher J.",56603678600
Christopher Fawson,"Fawson, Christopher",6602262292
Christopher Flinn,"Flinn, Christopher J.",6701344487
Christopher Foote,"Foote, Christopher L.",8244003500
Christopher J. Ellis,"Ellis, Christopher J.",56603678600
Christopher J. Flinn,"Flinn, Christopher J.",6701344487
Christopher M. Cornwell,"Cornwell, Christopher M.",7003728968
Christopher M. Snyder,"Snyder, Christopher M.",57209633419
Christopher Otrok,"Otrok, Christopher",6506656439
Christopher R. Udry,"Udry, Christopher R.",6603191591
Christopher Sims,"Sims, Christopher A.",7102637898
Christopher Snyder,"Snyder, Christopher M.",57209633419
Christopher Swann,"Swann, Christopher A.",8255236300
Christopher Taber,"Taber, Christopher R.",6701819730
Christopher Timmins,"Timmins, Christopher D.",6602821952
Christopher Udry,"Udry, Christopher R.",6603191591
Christopher Waller,"Waller, Christopher J.",7006001733
Christopher Woodruff,"Woodruff, Christopher",55824909100
Christos Giannikos,"Giannikos, Christos I.",6602336869
Chuen-mei Fan,"Fan, Chuenmei",13007744200
Chunrong Ai,"Ai, Chunrong",7003770272
Cihan Bilginsoy,"Bilginsoy, Cihan",6603646700
Clair Brown,"Brown, Clair",57191123329
Clark Leith,"Leith, J. Clark",24321552100
Clark Nardinelli,"Nardinelli, Clark",24450963700
Claudia Goldin,"Goldin, Claudia Dale",6701799144
Claudia Olivetti,"Olivetti, Claudia",6603249168
Claudio Gonzalez,"González-Vega, Claudio",6602376770
Claudio Gonzalez Vega,"González-Vega, Claudio",6602376770
Claudio Gonzalez-Vega,"González-Vega, Claudio",6602376770
Claudio Mezzetti,"Mezzetti, Claudio",6603390069
Clement G. Krouse,"Krouse, Clement G.",6603285567
Cleve Willis,"Willis, Cleve E.",7103066498
Cliff Lloyd,"Lloyd, Cliff L.",24566126900
