node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
14419920600,3.0273141827910786e-08,3.0273141827910786e-08,-0.04542079380986517,-0.1408529547049109,8.166666666666666,1.1414718406637462e-07,1.1414718406637462e-07,-0.045404634513786145,-0.13546598608910076,10.83673469387755,0,0,0,2.44495419589861e-09,2.44495419589861e-09,-0.04542308348647374,-0.1426433029615291,10,2.4447715714374494e-09,2.4447715714374494e-09,-0.045441514382837424,-0.1426227343956908
15061926000,1.1654658052922484e-07,1.1654658052922484e-07,-0.04540171354565278,-0.13531149774863602,10.0,6.723988712444193e-07,6.723988712444193e-07,-0.045294616457434135,-0.09959723193239714,8.405405405405405,0,0,0,7.593435465268157e-09,7.593435465268157e-09,-0.045422091505711165,-0.14231247452887108,8,7.593283417704866e-09,7.593283417704866e-09,-0.045440522797082716,-0.14229284719270166
15820477100,7.781827996888186e-07,7.781827996888186e-07,-0.04527423476808954,-0.092800426937859,12.0,3.966827775816417e-06,3.966827775816417e-06,-0.044659872647056856,0.11207434646049433,10.583333333333334,0,0,1,3.224260736317952e-08,3.224260736317952e-08,-0.04541734224023717,-0.1407285808564166,3,3.224045800868303e-08,3.224045800868303e-08,-0.045435775835640645,-0.14071359716275436
16028070900,3.700985728507777e-06,3.700985728507777e-06,-0.0447110914909661,0.09499412410116308,12.0,2.0937156194788826e-05,1.4679884641542969e-05,-0.04139016667031817,0.8004032627437749,12.4,0,0,0,2.9862933614151194e-07,2.9862933614151194e-07,-0.045366016325559096,-0.12361124093581655,3,2.986232551560499e-07,2.986232551560499e-07,-0.04538447142092079,-0.12364531053949097
16068434800,1.0375412106120662e-09,1.0375412106120662e-09,-0.04542458328395144,-0.14273251236725432,5.0,1.9216624481942177e-09,1.9216624481942177e-09,-0.04542441294097287,-0.14267571178619876,6.6,0,0,0,6.697761460582931e-12,6.697761460582931e-12,-0.04542355327617494,-0.1427999791758183,2,6.6976375668875254e-12,6.6976375668875254e-12,-0.04544198394752989,-0.14277895223392073
16424242500,1.5369060004251917e-13,1.5369060004251917e-13,-0.04542416883440398,-0.14279977952845954,1.0,8.021179578129864e-12,8.021179578129864e-12,-0.04542416731856033,-0.14279927403159628,4.0,0,0,0,2.9969224110811983e-15,2.9969224110811983e-15,-0.04542355456608497,-0.14280040936451732,1,2.9968159065132537e-15,2.9968159065132537e-15,-0.04544198523689478,-0.14277938118822409
16429576800,1.4469355421772812e-09,1.4469355421772812e-09,-0.045423890080141714,-0.14270682178493563,7.0,9.039380804201943e-09,9.039380804201943e-09,-0.04542242722968016,-0.14221899685436315,5.428571428571429,0,0,1,2.0388190892309617e-11,2.0388190892309617e-11,-0.04542355063837907,-0.14279909946332167,1,1.984303189573059e-11,1.984303189573059e-11,-0.04544198141577195,-0.14277810995220966
16434362200,1.4527755588217061e-09,1.4527755588217061e-09,-0.045423888954684716,-0.14270644651230824,5.0,2.6981012987970047e-08,2.6981012987970047e-08,-0.045418970381996084,-0.1410662225499001,5.75,0,0,0,4.72122984446443e-11,4.72122984446443e-11,-0.04542354547005908,-0.1427973758137647,2,4.721169630656277e-11,4.721169630656277e-11,-0.04544197614466089,-0.1427763563246719
16446204900,1.5649228442438468e-08,1.5649228442438468e-08,-0.04542361124852909,-0.14179219517791306,5.5,2.502302331887413e-07,2.502302331887413e-07,-0.045378416527861745,-0.12672578754714056,9.88659793814433,0,1,2,4.2627741394589726e-09,4.2627741394589726e-09,-0.04542273323902803,-0.14252649443269938,26,4.255859218149119e-09,4.255859218149119e-09,-0.04544116557355726,-0.14250669025400833
16475049100,4.7699585365828e-05,1.6223888437484802e-05,-0.036233781022071324,0.8996134481644342,11.777777777777779,8.738450444393201e-05,1.1051175395434882e-05,-0.02858761432185187,0.5672598598305535,10.164835164835164,0,0,0,3.1365826871004104e-06,3.1365826871004104e-06,-0.04481921524346444,0.05874849000856049,9,3.1365795966083016e-06,3.1365795966083016e-06,-0.044837890745824914,0.0581947060792162
